project_id,project_name,domain,skills,tech_stack,description,difficulty,github_url,tags
PROJ026,Hotel Booking System,Database Management,"Database Design, CRUD Operations, Authentication, REST APIs, Transaction Management","React, Node.js, MongoDB","A reservation system for searching hotels, managing rooms, processing bookings, and tracking reservations.",Intermediate,https://github.com/machadop1407/hotel-management-full-stack,"Hotel, Booking, Reservation"
PROJ027,Airbnb Clone,Software Engineering,"React, Authentication, Database Design, REST APIs, Search","React, Node.js, MongoDB","A property marketplace where users can discover accommodations, view listings, and manage reservations.",Advanced,https://github.com/safak/youtube/tree/airbnb-clone,"Airbnb, Travel, Property"
PROJ028,Restaurant Reservation System,Database Management,"Database Design, CRUD Operations, Authentication, REST APIs","React, Node.js, MySQL","A restaurant reservation system that manages tables, customer bookings, schedules, and availability.",Intermediate,https://github.com/mikhae128/restaurant-reservation,"Restaurant, Reservation, Booking"
PROJ029,Movie Ticket Booking,Database Management,"Database Design, CRUD Operations, Authentication, Payment Integration","JavaScript, Node.js, MySQL","A ticket booking system allowing customers to select movies, seats, showtimes, and reservations.",Intermediate,https://github.com/isuruAb/online-movie-ticket-booking-syste,"Movies, Tickets, Booking"
PROJ030,Flight Booking System,Database Management,"Database Design, CRUD Operations, Authentication, Transaction Management","Java, Spring Boot, MySQL","A flight reservation system for searching flights, selecting seats, and managing passenger bookings.",Advanced,https://github.com/coding-dojo-sndip/flight-booking-system,"Flights, Booking, Travel"
PROJ031,Trello Clone,Software Engineering,"React, CRUD Operations, State Management, REST APIs, Database Design","React, Node.js, MongoDB","A project management application using boards, lists, and cards to organize collaborative tasks.",Intermediate,https://github.com/reedbarger/trello-clone,"Productivity, Kanban, Tasks"
PROJ032,Notion Clone,Software Engineering,"React, CRUD Operations, Authentication, Database Design, State Management","React, Node.js, MongoDB","A collaborative workspace for organizing notes, documents, databases, and project information.",Advanced,https://github.com/konstantinmuenster/notion-clone,"Productivity, Notes, Collaboration"
PROJ033,Jira Clone,Software Engineering,"React, CRUD Operations, Authentication, Database Design, Project Management","React, Node.js, MongoDB","A software project management system for tracking issues, tasks, workflows, and team progress.",Advanced,https://github.com/oldboyxx/jira_clone,"Jira, Agile, Project Management"
PROJ034,Task Management App,Software Engineering,"JavaScript, CRUD Operations, REST APIs, Authentication, Database Design","React, Node.js, MongoDB","A task management application for creating, organizing, updating, and tracking personal work items.",Beginner,https://github.com/CleverProgrammers/mern-todo,"Tasks, Productivity, CRUD"
PROJ035,Calendar Scheduling App,Software Engineering,"JavaScript, Date Handling, CRUD Operations, Authentication, APIs","React, Node.js, PostgreSQL","A scheduling application for creating events, managing calendars, and coordinating appointments.",Intermediate,https://github.com/calendso/calendso,"Calendar, Scheduling, Productivity"
PROJ036,Kanban Board,Software Engineering,"React, State Management, CRUD Operations, Drag and Drop","React, JavaScript",A visual task board that organizes work into stages using cards and drag-and-drop interactions.,Beginner,https://github.com/rcdexta/react-trello,"Kanban, Tasks, Agile"
PROJ037,Note-Taking App,Software Engineering,"JavaScript, CRUD Operations, Authentication, Database Design","React, Node.js, MongoDB","A digital note-taking system for creating, editing, searching, and organizing personal notes.",Beginner,https://github.com/Faisa1ST32/note-taking-app,"Notes, Productivity, CRUD"
PROJ038,Food Delivery App,Mobile Development,"Authentication, REST APIs, Database Design, Payment Integration, Location Services","React Native, Node.js, MongoDB","A food ordering application connecting customers with restaurants for menus, orders, payments, and delivery.",Advanced,https://github.com/shakyShane/foodordering-mernstack,"Food, Delivery, Mobile"
PROJ039,Recipe Sharing Platform,Software Engineering,"React, CRUD Operations, Authentication, Database Design, Image Handling","React, Node.js, MongoDB","A community platform where users publish, discover, and share recipes with other users.",Intermediate,https://github.com/machadop1407/recipe-site,"Recipes, Food, Community"
PROJ040,Restaurant Menu Management,Database Management,"CRUD Operations, Database Design, Authentication, REST APIs","React, Node.js, MongoDB","A management system for restaurants to create, update, organize, and publish menu items.",Beginner,https://github.com/ipenywis/restaurant-webapp,"Restaurant, Menu, Management"
PROJ041,Meal Planner App,Mobile Development,"CRUD Operations, Authentication, Database Design, State Management","React Native, Node.js, MongoDB","A planning application that helps users organize meals, recipes, and weekly food schedules.",Intermediate,https://github.com/chingu-voyages/v25-geckos-team-85,"Meal Planning, Food, Productivity"
PROJ042,Banking Application,Database Management,"Database Design, Authentication, Transaction Management, REST APIs, Security","Java, Spring Boot, MySQL","A banking system for managing accounts, transactions, balances, and customer financial operations.",Advanced,https://github.com/TannerGabriel/Banking-Application,"Banking, Finance, Transactions"
PROJ043,Expense Tracker,Database Management,"CRUD Operations, Database Design, Authentication, Data Visualization","React, Node.js, MongoDB","A personal finance application that records expenses, categorizes spending, and visualizes financial activity.",Beginner,https://github.com/machadop1487/Expense-Tracker-Fullstack,"Finance, Expenses, Analytics"
PROJ044,Cryptocurrency Dashboard,AI/ML,"JavaScript, REST APIs, Data Visualization, State Management","React, JavaScript","A dashboard that retrieves cryptocurrency market data and presents prices, trends, and portfolio information.",Intermediate,https://github.com/adrianhajdin/project_cryptoverse,"Crypto, Finance, Dashboard"
PROJ045,Invoice Management System,Database Management,"Database Design, CRUD Operations, Authentication, PDF Generation","Node.js, Express.js, MongoDB","A business system for creating, managing, tracking, and organizing customer invoices.",Intermediate,https://github.com/invoiceninja/invoiceninja,"Invoices, Finance, Business"
PROJ046,Budget Planning App,Database Management,"CRUD Operations, Database Design, Data Visualization, Authentication","React, Node.js, MongoDB","A budgeting application that helps users plan income, expenses, savings, and financial goals.",Beginner,,"Budget, Finance, Planning"
PROJ047,Stock Market Portfolio Tracker,AI/ML,"Python, Data Analysis, APIs, Data Visualization","Python, Pandas, NumPy, React","A portfolio application that tracks stock holdings, market prices, performance, and investment trends.",Intermediate,,"Stocks, Finance, Portfolio"
PROJ048,Hospital Management System,Database Management,"Database Design, CRUD Operations, Authentication, Role-Based Access","Java, Spring Boot, MySQL","A hospital administration platform for managing patients, doctors, appointments, records, and hospital operations.",Advanced,https://github.com/shubhammehra4/Hospital-Management-System,"Healthcare, Hospital, Database"
PROJ049,Doctor Appointment System,Database Management,"Database Design, Authentication, CRUD Operations, Scheduling","Java, Spring Boot, MySQL","A system for patients to discover doctors, schedule appointments, and manage healthcare bookings.",Intermediate,https://github.com/CodAffection/Hospital-Management-System,"Healthcare, Appointments, Doctors"
PROJ050,Fitness Tracker,Mobile Development,"Mobile Development, APIs, Data Visualization, Authentication, Database Design","React Native, Firebase","A fitness application that tracks activities, progress, goals, and personal health metrics.",Intermediate,https://github.com/machadop1487/Fitness-Tracker-App,"Fitness, Health, Mobile"
PROJ051,Telemedicine Platform,Software Engineering,"Authentication, Video Communication, Database Design, REST APIs, Security","React, Node.js, MongoDB, WebRTC",A healthcare platform enabling patients and doctors to communicate remotely and manage virtual consultations.,Advanced,,"Healthcare, Telemedicine, Video"
PROJ052,Pharmacy Management System,Database Management,"Database Design, CRUD Operations, Authentication, Inventory Management","Java, MySQL","A pharmacy system for managing medicines, inventory, customers, prescriptions, and sales transactions.",Intermediate,https://github.com/shuvooa787/pharmacy-management-system,"Pharmacy, Healthcare, Inventory"
PROJ053,Uber Clone,Mobile Development,"Mobile Development, Authentication, Maps, Real-Time Communication, REST APIs","React Native, Node.js, MongoDB, Maps API",A ride-booking application connecting passengers with drivers through location services and real-time trip management.,Advanced,https://github.com/CleverProgrsmmers/uber-clone,"Ride Sharing, Maps, Transportation"
PROJ054,Car Rental System,Software Engineering,"Database Design, CRUD Operations, Authentication, Payment Integration","React, Node.js, MongoDB","A vehicle rental platform for browsing cars, checking availability, making reservations, and managing rentals.",Intermediate,https://github.com/zeeshanhanif/car-rental-system,"Cars, Rental, Booking"
PROJ055,Travel Planner App,Mobile Development,"APIs, Maps, Search, Mobile Development, State Management","React Native, JavaScript, Maps API",A travel planning application that helps users discover destinations and organize personalized travel itineraries.,Intermediate,https://github.com/adrianhajdin/project_travel_advisor,"Travel, Maps, Planning"
PROJ056,Ride Sharing App,Mobile Development,"Mobile Development, Maps, Real-Time Communication, Authentication, APIs","React Native, Node.js, Socket.IO",A ride-sharing platform for matching passengers and drivers and tracking trips in real time.,Advanced,https://github.com/alex996/uber-clone,"Ride Sharing, Maps, Real-Time"
PROJ057,Real Estate Listing Platform,Software Engineering,"Database Design, Search, Authentication, CRUD Operations, REST APIs","React, Node.js, MongoDB","A property marketplace where users can publish, search, filter, and manage real estate listings.",Intermediate,https://github.com/safak/youtube/tree/real-estate-app,"Real Estate, Listings, Search"
PROJ058,Property Management System,Database Management,"Database Design, CRUD Operations, Authentication, Reporting","Node.js, Express.js, MySQL","A system for managing properties, tenants, maintenance activities, payments, and property records.",Intermediate,https://github.com/property-management-system/pms,"Property, Management, Database"
PROJ059,House Rental Platform,Software Engineering,"Search, Authentication, Database Design, Payment Integration","React, Node.js, MongoDB",A rental marketplace connecting property owners and tenants through property discovery and booking workflows.,Intermediate,https://github.com/machadop1407/real-estate-app,"Rental, Property, Marketplace"
PROJ060,Gaming Platform,Game Development,"Game Development, JavaScript, APIs, State Management","JavaScript, React","A digital gaming platform for discovering, organizing, and interacting with browser-based games.",Intermediate,https://github.com/iptv-org/iptv,"Games, Gaming, Platform"
PROJ061,Quiz Game Multiplayer,Game Development,"Game Development, JavaScript, WebSockets, State Management","JavaScript, Node.js, Socket.IO",A multiplayer quiz game where participants compete in real time through shared questions and scoring.,Intermediate,,"Game, Quiz, Multiplayer"
PROJ062,Chess Game Online,Game Development,"Game Development, Algorithms, State Management, Real-Time Communication","JavaScript, Node.js, WebSockets","An online chess platform implementing game rules, player sessions, moves, and multiplayer gameplay.",Advanced,https://github.com/lichess-org/lila,"Chess, Multiplayer, Algorithms"
PROJ063,Tic-Tac-Toe Multiplayer,Game Development,"Game Development, JavaScript, WebSockets, Algorithms","JavaScript, Node.js, Socket.IO",A multiplayer Tic-Tac-Toe game supporting real-time matches and synchronized game state.,Beginner,https://github.com/coding-garden/tic-tec-toe-multiplayer,"Game, Multiplayer, Beginner"
PROJ064,Email Client,Software Engineering,"JavaScript, Authentication, APIs, Database Design, State Management","React, Node.js, MongoDB","An email application supporting message composition, inbox management, search, and user authentication.",Advanced,https://github.com/CleverProgrammers/gmail-clone,"Email, Communication, Productivity"
PROJ065,Newsletter Platform,Software Engineering,"CRUD Operations, Authentication, APIs, Database Design","Node.js, React, MongoDB","A publishing platform for creating, managing, and distributing newsletters to subscribers.",Intermediate,https://github.com/TryGhost/Ghost,"Newsletter, Publishing, Email"
PROJ066,SMS Marketing Platform,Software Engineering,"APIs, REST APIs, Authentication, Database Design","Node.js, Express.js, MongoDB","A messaging platform for managing SMS campaigns, recipients, and automated communications.",Advanced,https://github.com/plivo/plivo-examples-node,"SMS, Marketing, APIs"
PROJ067,Inventory Management System,Database Management,"Database Design, CRUD Operations, Authentication, Reporting","Node.js, Express.js, MySQL","A business application for tracking products, stock levels, suppliers, and inventory transactions.",Intermediate,https://github.com/saadpasta/inventory-management-system,"Inventory, Database, Business"
PROJ068,CRM Application,Database Management,"Database Design, CRUD Operations, Authentication, REST APIs","Node.js, React, PostgreSQL","A customer relationship management system for organizing contacts, sales activities, and business interactions.",Advanced,https://github.com/cortezeproject/corteza-server,"CRM, Enterprise, Customers"
PROJ069,Warehouse Management,Database Management,"Database Design, Inventory Management, CRUD Operations, Reporting","Java, Spring Boot, MySQL","A warehouse system for tracking stock, storage locations, shipments, and inventory operations.",Advanced,,"Warehouse, Inventory, Logistics"
PROJ070,Point of Sale System,Database Management,"Database Design, CRUD Operations, Transaction Management, Reporting","Java, MySQL","A retail sales system for processing transactions, managing products, and generating sales records.",Intermediate,https://github.com/loystar/POS-System,"POS, Retail, Sales"
PROJ071,Progressive Web App Store,Mobile Development,"Mobile Development, JavaScript, APIs, Responsive Design","JavaScript, React, PWA",A responsive shopping application designed to provide app-like functionality through progressive web technologies.,Intermediate,https://github.com/GoogleChromeLabs/pwa-starter-kit,"PWA, Mobile, E-Commerce"
PROJ072,Weather Application,Mobile Development,"APIs, JavaScript, Data Handling, Responsive Design","React, JavaScript, Weather API",A weather application that retrieves current conditions and forecasts from external weather services.,Beginner,https://github.com/adrianhajdin/project_weather_app,"Weather, APIs, Mobile"
PROJ073,News Aggregator,Software Engineering,"APIs, REST APIs, Search, Data Handling, React","React, Node.js, APIs",A news application that collects and organizes articles from multiple sources into a searchable interface.,Intermediate,https://github.com/machadop1407/News-App-Full-Stack,"News, APIs, Aggregation"
PROJ074,Job Board Platform,Software Engineering,"React, Authentication, Search, Database Design, REST APIs","React, Node.js, MongoDB",A job marketplace where employers publish vacancies and candidates search and apply for opportunities.,Intermediate,https://github.com/safak/youtube/tree/job-board,"Jobs, Recruitment, Career"
PROJ075,Portfolio Builder,Software Engineering,"HTML, CSS, JavaScript, Responsive Design, UI Development","HTML, CSS, JavaScript",A customizable platform that helps developers create and publish professional portfolios.,Beginner,https://github.com/cobidev/gatsby-simplefolio,"Portfolio, Frontend, Career"
PROJ076,Photo Sharing Platform,Software Engineering,"React, Authentication, Image Handling, Database Design, REST APIs","React, Node.js, MongoDB","A social photo-sharing application where users upload images, manage profiles, and interact with posts.",Advanced,https://github.com/safak/youtube/tree/instagram-clone,"Photos, Social, Images"
PROJ077,Design Collaboration Tool,Software Engineering,"JavaScript, Canvas, Real-Time Communication, State Management","TypeScript, React, WebSockets",A collaborative design environment where multiple users can create and edit visual content together.,Advanced,https://github.com/tldraw/tldraw,"Figma, Design, Collaboration"
PROJ078,Meme Generator,Programming,"JavaScript, APIs, Image Processing, UI Development","JavaScript, HTML, CSS","A web application for creating customized memes using images, text, and templates.",Beginner,https://github.com/R313nt13ss/Meme_Api,"Meme, Images, Creative"
PROJ079,Admin Dashboard,Software Engineering,"React, Data Visualization, State Management, REST APIs","React, JavaScript","A configurable administrative dashboard for monitoring application data, metrics, users, and operational activities.",Intermediate,https://github.com/flatlogic/sing-app-react,"Dashboard, Admin, Analytics"
PROJ080,Analytics Platform,AI/ML,"Data Analysis, Data Visualization, APIs, SQL","JavaScript, React","A platform for collecting, processing, and visualizing application or business analytics data.",Advanced,https://github.com/keen/keen-js,"Analytics, Data, Visualization"
PROJ081,Data Visualization Dashboard,AI/ML,"Data Analysis, Data Visualization, SQL, Statistics","Python, Apache Superset, PostgreSQL","An interactive dashboard that transforms datasets into charts, reports, and analytical insights.",Intermediate,https://github.com/apache/superset,"Visualization, Analytics, BI"
PROJ082,Business Intelligence Tool,AI/ML,"Data Analysis, SQL, Data Visualization, Database Design","Java, PostgreSQL, React",A business intelligence platform for querying data and creating analytical dashboards and reports.,Advanced,https://github.com/metabase/metabase,"BI, SQL, Analytics"
PROJ083,Authentication System,Software Engineering,"Authentication, OAuth, Security, REST APIs, Session Management","Node.js, Express.js, MongoDB","A reusable authentication system implementing secure login, registration, sessions, and OAuth-based access.",Intermediate,https://github.com/sahat/hackathon-starter,"Authentication, OAuth, Security"
PROJ084,Password Manager,Software Engineering,"Cryptography, Authentication, Security, Database Design","C#, .NET, SQLite",A secure application for storing and managing credentials using encryption and authentication.,Advanced,https://github.com/bitwarden/server,"Passwords, Security, Encryption"
PROJ085,Two-Factor Authentication System,Software Engineering,"Authentication, Cryptography, Security, APIs","JavaScript, Node.js",A security system that adds a second verification factor to user authentication workflows.,Intermediate,https://github.com/google/google-authenticator,"2FA, Security, Authentication"
PROJ086,Chatbot Platform,AI/ML,"Python, NLP, Machine Learning, Conversational AI","Python, Node.js, React",A conversational platform that allows users to interact with automated assistants through natural language.,Intermediate,https://github.com/botpress/botpress,"Chatbot, NLP, AI"
PROJ087,Image Recognition App,AI/ML,"Python, Computer Vision, Deep Learning, Image Classification","Python, TensorFlow, OpenCV",An image recognition application that identifies objects or categories from uploaded images using machine learning.,Intermediate,https://github.com/tensorflow/tfjs-examples,"Computer Vision, Classification, AI"
PROJ088,Recommendation System,AI/ML,"Python, Machine Learning, Recommendation Systems, Data Analysis","Python, Scikit-learn, Pandas",A recommendation engine that predicts relevant items for users based on preferences and historical behavior.,Advanced,https://github.com/NicolasHug/Surprise,"Recommendation, Machine Learning, Personalization"
PROJ089,Sentiment Analysis Tool,AI/ML,"Python, NLP, Machine Learning, Text Classification","Python, Scikit-learn, NLTK","A natural language processing system that classifies text according to positive, negative, or neutral sentiment.",Intermediate,https://github.com/vivekn/sentiment,"NLP, Sentiment, Text"
PROJ090,Domain-Specific RAG Chatbot,AI/ML,"Python, NLP, Embeddings, RAG, Vector Databases","Python, LangChain, ChromaDB, FastAPI",A retrieval-augmented chatbot that answers questions using knowledge from a specialized document collection.,Advanced,https://github.com/langchain-ai/langchain,"RAG, LLM, Chatbot, Vector Database"
PROJ091,Intelligent Code Documentation Generator,AI/ML,"Python, NLP, LLM, Code Analysis, Prompt Engineering","Python, Hugging Face, LangChain",An AI system that analyzes source code and automatically generates readable technical documentation.,Advanced,https://github.com/topics/code-documentation,"Code, Documentation, LLM"
PROJ092,PDF Question Answering System,AI/ML,"Python, NLP, Embeddings, RAG, Vector Databases","Python, LangChain, Hugging Face, FAISS, FastAPI",A document question-answering system that retrieves relevant PDF information and generates contextual answers.,Advanced,https://github.com/topics/pdf-ga,"RAG, PDF, LLM, QA"
PROJ093,Enterprise Knowledge Base Chatbot,AI/ML,"Python, NLP, RAG, Embeddings, Vector Databases","Python, LangChain, ChromaDB",A conversational knowledge system that retrieves enterprise information and provides context-aware answers.,Advanced,https://github.com/hwchase17/chroma-langchain,"Enterprise, RAG, Knowledge Base"
PROJ094,Legal Contract Analyzer,AI/ML,"Python, NLP, Text Classification, Information Extraction, LLM","Python, Hugging Face, LangChain","An AI system that analyzes contracts and extracts important clauses, risks, and obligations.",Advanced,https://github.com/topics/contract-analysis,"Legal AI, NLP, Contracts"
PROJ095,Academic Paper Summarizer,AI/ML,"Python, NLP, Text Summarization, LLM","Python, Hugging Face, Transformers",An AI tool that summarizes research papers and extracts their key findings and concepts.,Intermediate,https://github.com/topics/paper-summarization,"Research, NLP, Summarization"
PROJ096,Multi-Document Retrieval System,AI/ML,"Python, NLP, Embeddings, Information Retrieval, Vector Databases","Python, FAISS, LangChain",A retrieval system that searches across multiple documents and returns relevant information for user queries.,Advanced,https://github.com/topics/information-retrieval,"Retrieval, Search, RAG"
PROJ097,Custom LLM Fine-Tuning Platform,AI/ML,"Python, Deep Learning, LLM, Model Fine-Tuning, NLP","Python, PyTorch, Hugging Face, PEFT",A platform for adapting language models to specialized datasets and domain-specific tasks.,Advanced,https://github.com/huggingface/peft,"LLM, Fine-Tuning, NLP"
PROJ098,Prompt Engineering Toolkit,AI/ML,"Python, LLM, Prompt Engineering, Evaluation","Python, LangChain","A toolkit for designing, testing, comparing, and evaluating prompts for language-model applications.",Intermediate,https://github.com/topics/prompt-engineering,"LLM, Prompts, Evaluation"
PROJ099,AI Code Assistant,AI/ML,"Python, NLP, LLM, Code Analysis, APIs","Python, Hugging Face, FastAPI",An AI coding assistant that provides contextual suggestions and explanations based on source code.,Advanced,https://github.com/getcursor/cursor,"Code Assistant, LLM, Developer Tools"
PROJ100,Conversational SQL Query Generator,AI/ML,"Python, NLP, SQL, LLM, Database Design","Python, LangChain, PostgreSQL",A natural-language interface that converts user questions into SQL queries for database analysis.,Advanced,https://github.com/topics/text-to-sql,"Text-to-SQL, LLM, SQL"
PROJ101,Multi-Language Document Translator,AI/ML,"Python, NLP, Machine Translation, Text Processing","Python, Hugging Face, Transformers",An automated translation system that converts documents between multiple languages while preserving meaning.,Advanced,https://github.com/topics/machine-translation,"Translation, NLP, Multilingual"
PROJ102,Autonomous Code Review Agent,AI/ML,"Python, LLM, Code Analysis, Software Testing, Git","Python, LangChain, GitHub APIs","An AI agent that reviews source code, identifies potential issues, and provides development recommendations.",Advanced,https://github.com/topics/code-review-automation,"AI Agent, Code Review, Automation"
PROJ103,Multi-Agent Task Automation System,AI/ML,"Python, LLM, Multi-Agent Systems, APIs, Workflow Automation","Python, AutoGen, LangChain",A multi-agent platform where specialized AI agents collaborate to execute complex tasks.,Advanced,https://github.com/microsoft/autogen,"Agents, Automation, LLM"
PROJ104,AI Sales Assistant Agent,AI/ML,"Python, LLM, NLP, Workflow Automation, APIs","Python, LangGraph, LangChain","An AI sales assistant that helps automate lead analysis, communication, and sales workflow tasks.",Advanced,https://github.com/langchain-ai/langgraph,"Sales, AI Agent, Automation"
PROJ105,Customer Support Agent with Memory,AI/ML,"Python, NLP, LLM, RAG, Conversational AI","Python, LlamaIndex, Vector Database",An AI support assistant that maintains conversational context and uses knowledge bases to answer customer queries.,Advanced,https://github.com/run-llama/llama,"Customer Support, Memory, RAG"
PROJ106,Research Assistant Agent,AI/ML,"Python, LLM, Information Retrieval, Web APIs, NLP","Python, LangChain, FastAPI","An AI research assistant that searches information, synthesizes sources, and produces structured research outputs.",Advanced,https://github.com/assafelovic/gpt-researcher,"Research, Agent, LLM"
PROJ107,AI Data Analyst Agent,AI/ML,"Python, Data Analysis, LLM, SQL, Data Visualization","Python, Pandas, LangChain, PostgreSQL","An AI analyst that interprets datasets, generates queries, performs analysis, and explains results.",Advanced,https://github.com/topics/ai-data-analyst,"Data Analyst, AI Agent, SQL"
