career_id,career_title,skill_id,skill_name,skill_category,importance,in_demand,hot_technology,description
CAR004,Data Engineer,SK023,PostgreSQL,Database,High,Yes,No,"Advanced, enterprise-class open-source relational database system."
CAR004,Data Engineer,SK012,AWS,Cloud,High,Yes,No,Amazon Web Services cloud computing platform for deploying scalable applications.
CAR004,Data Engineer,SK045,Data Modeling,Data Engineering,High,Yes,No,Process of creating a conceptual representation of data structures and their relationships.
CAR004,Data Engineer,SK006,Docker,DevOps,Medium,Yes,No,Containerization technology used to package applications and dependencies for consistent deployment.
CAR004,Data Engineer,SK020,CI/CD,DevOps,Medium,Yes,No,Continuous integration and continuous deployment practices for automated software delivery.
CAR004,Data Engineer,SK007,Git,DevOps,High,Yes,No,Version control system used for tracking code changes and collaborating on software.
CAR004,Data Engineer,SK046,Snowflake,Data Engineering,High,Yes,Yes,Cloud-based data warehousing platform designed for massive scale and performance.
CAR005,Software Engineer,SK001,Python,Programming,High,Yes,Yes,"General-purpose programming language widely used for AI, machine learning, and backend development."
CAR005,Software Engineer,SK013,Java,Programming,High,Yes,No,"High-level, class-based, object-oriented programming language widely used for enterprise applications."
CAR005,Software Engineer,SK015,JavaScript,Programming,High,Yes,No,"Core programming language of the Web, used for interactive and dynamic content."
CAR005,Software Engineer,SK014,C++,Programming,Medium,No,No,General-purpose programming language known for performance and system-level control.
CAR005,Software Engineer,SK007,Git,DevOps,Critical,Yes,No,Version control system used for tracking code changes and collaborating on software.
CAR005,Software Engineer,SK005,SQL,Database,High,Yes,No,"Query language used to store, retrieve, and analyze structured data in databases."
CAR005,Software Engineer,SK019,REST APIs,Web Development,Critical,Yes,No,Architectural style for designing networked applications and integrating software services.
CAR005,Software Engineer,SK006,Docker,DevOps,High,Yes,No,Containerization technology used to package applications and dependencies for consistent deployment.
CAR005,Software Engineer,SK020,CI/CD,DevOps,High,Yes,No,Continuous integration and continuous deployment practices for automated software delivery.
CAR005,Software Engineer,SK021,Linux,Systems,High,Yes,No,"Open-source operating system widely used for servers, cloud infrastructure, and development."
CAR005,Software Engineer,SK012,AWS,Cloud,High,Yes,No,Amazon Web Services cloud computing platform for deploying scalable applications.
CAR005,Software Engineer,SK047,Software Architecture,Software Engineering,Critical,Yes,No,High-level structure of a software system and the discipline of creating such structures.
CAR006,Backend Developer,SK017,Node.js,Web Development,High,Yes,No,JavaScript runtime built on Chrome's V8 engine for executing code server-side.
CAR006,Backend Developer,SK001,Python,Programming,High,Yes,Yes,"General-purpose programming language widely used for AI, machine learning, and backend development."
CAR006,Backend Developer,SK013,Java,Programming,High,Yes,No,"High-level, class-based, object-oriented programming language widely used for enterprise applications."
CAR006,Backend Developer,SK005,SQL,Database,Critical,Yes,No,"Query language used to store, retrieve, and analyze structured data in databases."
CAR006,Backend Developer,SK023,PostgreSQL,Database,High,Yes,No,"Advanced, enterprise-class open-source relational database system."
CAR006,Backend Developer,SK022,MongoDB,Database,High,Yes,No,NoSQL document database designed for scalability and flexible data schemas.
CAR006,Backend Developer,SK019,REST APIs,Web Development,Critical,Yes,No,Architectural style for designing networked applications and integrating software services.
CAR006,Backend Developer,SK048,GraphQL,Web Development,Medium,Yes,Yes,Query language for APIs providing a complete and understandable description of data.
CAR006,Backend Developer,SK006,Docker,DevOps,High,Yes,No,Containerization technology used to package applications and dependencies for consistent deployment.
CAR006,Backend Developer,SK007,Git,DevOps,Critical,Yes,No,Version control system used for tracking code changes and collaborating on software.
CAR006,Backend Developer,SK049,Redis,Database,Medium,Yes,No,"In-memory data structure store used as a database, cache, and message broker."
CAR006,Backend Developer,SK012,AWS,Cloud,High,Yes,No,Amazon Web Services cloud computing platform for deploying scalable applications.
CAR007,Frontend Developer,SK018,HTML/CSS,Web Development,Critical,Yes,No,Fundamental technologies for structuring and styling content on the World Wide Web.
CAR007,Frontend Developer,SK015,JavaScript,Programming,Critical,Yes,No,"Core programming language of the Web, used for interactive and dynamic content."
CAR007,Frontend Developer,SK050,TypeScript,Programming,High,Yes,Yes,Strongly typed programming language that builds on JavaScript for larger scale applications.
CAR007,Frontend Developer,SK016,React,Web Development,Critical,Yes,Yes,JavaScript library for building user interfaces based on UI components.
CAR007,Frontend Developer,SK051,Angular,Web Development,Medium,No,No,Platform and framework for building single-page client applications using HTML and TypeScript.
CAR007,Frontend Developer,SK052,Vue.js,Web Development,Medium,Yes,No,Progressive JavaScript framework for building user interfaces and single-page applications.
CAR007,Frontend Developer,SK019,REST APIs,Web Development,High,Yes,No,Architectural style for designing networked applications and integrating software services.
CAR007,Frontend Developer,SK007,Git,DevOps,Critical,Yes,No,Version control system used for tracking code changes and collaborating on software.
CAR007,Frontend Developer,SK053,Responsive Design,Web Development,Critical,Yes,No,Approach to web design that makes web pages render well on a variety of devices.
CAR007,Frontend Developer,SK054,Web Performance Optimization,Web Development,High,Yes,No,Techniques to improve the speed and efficiency of web applications.
CAR007,Frontend Developer,SK055,Figma,UI/UX,Medium,Yes,No,Collaborative web application for interface design and prototyping.
CAR008,Full Stack Developer,SK015,JavaScript,Programming,Critical,Yes,No,"Core programming language of the Web, used for interactive and dynamic content."
CAR008,Full Stack Developer,SK018,HTML/CSS,Web Development,Critical,Yes,No,Fundamental technologies for structuring and styling content on the World Wide Web.
CAR008,Full Stack Developer,SK016,React,Web Development,High,Yes,Yes,JavaScript library for building user interfaces based on UI components.
CAR008,Full Stack Developer,SK017,Node.js,Web Development,High,Yes,No,JavaScript runtime built on Chrome's V8 engine for executing code server-side.
CAR008,Full Stack Developer,SK001,Python,Programming,High,Yes,Yes,"General-purpose programming language widely used for AI, machine learning, and backend development."
CAR008,Full Stack Developer,SK005,SQL,Database,Critical,Yes,No,"Query language used to store, retrieve, and analyze structured data in databases."
CAR008,Full Stack Developer,SK019,REST APIs,Web Development,Critical,Yes,No,Architectural style for designing networked applications and integrating software services.
CAR008,Full Stack Developer,SK007,Git,DevOps,Critical,Yes,No,Version control system used for tracking code changes and collaborating on software.
CAR008,Full Stack Developer,SK006,Docker,DevOps,High,Yes,No,Containerization technology used to package applications and dependencies for consistent deployment.
CAR008,Full Stack Developer,SK012,AWS,Cloud,High,Yes,No,Amazon Web Services cloud computing platform for deploying scalable applications.
CAR008,Full Stack Developer,SK050,TypeScript,Programming,High,Yes,Yes,Strongly typed programming language that builds on JavaScript for larger scale applications.
CAR008,Full Stack Developer,SK022,MongoDB,Database,Medium,Yes,No,NoSQL document database designed for scalability and flexible data schemas.
CAR009,Mobile Application Developer,SK026,Swift,Mobile Development,High,Yes,No,"Powerful and intuitive programming language for macOS, iOS, watchOS, and tvOS."
CAR009,Mobile Application Developer,SK027,Kotlin,Mobile Development,High,Yes,No,Modern programming language widely used for Android app development.
CAR009,Mobile Application Developer,SK056,React Native,Mobile Development,High,Yes,Yes,Framework for building native apps using React and JavaScript.
CAR009,Mobile Application Developer,SK057,Flutter,Mobile Development,High,Yes,Yes,"Google's UI toolkit for building natively compiled applications for mobile, web, and desktop."
CAR009,Mobile Application Developer,SK013,Java,Programming,Medium,No,No,"High-level, class-based, object-oriented programming language widely used for enterprise applications."
CAR009,Mobile Application Developer,SK019,REST APIs,Web Development,Critical,Yes,No,Architectural style for designing networked applications and integrating software services.
CAR009,Mobile Application Developer,SK007,Git,DevOps,Critical,Yes,No,Version control system used for tracking code changes and collaborating on software.
CAR009,Mobile Application Developer,SK058,Mobile UI/UX Design,UI/UX,High,Yes,No,Principles and practices for designing intuitive and engaging mobile interfaces.
CAR009,Mobile Application Developer,SK059,App Store Deployment,Mobile Development,High,Yes,No,Process of publishing applications to the Apple App Store and Google Play Store.
CAR009,Mobile Application Developer,SK060,SQLite,Database,Medium,Yes,No,"C-language library that implements a small, fast, self-contained SQL database engine."
CAR010,Cloud Engineer,SK012,AWS,Cloud,Critical,Yes,No,Amazon Web Services cloud computing platform for deploying scalable applications.
CAR010,Cloud Engineer,SK028,Azure,Cloud,High,Yes,No,Microsoft's public cloud computing platform providing a broad range of cloud services.
CAR010,Cloud Engineer,SK029,Google Cloud,Cloud,High,Yes,No,Suite of cloud computing services offered by Google.
CAR010,Cloud Engineer,SK021,Linux,Systems,Critical,Yes,No,"Open-source operating system widely used for servers, cloud infrastructure, and development."
CAR010,Cloud Engineer,SK006,Docker,DevOps,Critical,Yes,No,Containerization technology used to package applications and dependencies for consistent deployment.
CAR010,Cloud Engineer,SK008,Kubernetes,DevOps,Critical,Yes,Yes,"Container orchestration platform for automating application deployment, scaling, and management."
CAR010,Cloud Engineer,SK030,Terraform,DevOps,High,Yes,Yes,"Infrastructure as code software tool for building, changing, and versioning infrastructure safely."
CAR010,Cloud Engineer,SK020,CI/CD,DevOps,High,Yes,No,Continuous integration and continuous deployment practices for automated software delivery.
CAR010,Cloud Engineer,SK001,Python,Programming,High,Yes,Yes,"General-purpose programming language widely used for AI, machine learning, and backend development."
CAR010,Cloud Engineer,SK061,Bash Scripting,Systems,High,Yes,No,Command language and Unix shell used for automating system administration tasks.
CAR010,Cloud Engineer,SK031,Network Security,Cybersecurity,Medium,Yes,No,Practices and technologies designed to protect the usability and integrity of networks.
CAR010,Cloud Engineer,SK062,Serverless Computing,Cloud,Medium,Yes,Yes,Cloud computing execution model where the provider dynamically manages server allocation.
CAR011,DevOps Engineer,SK006,Docker,DevOps,Critical,Yes,No,Containerization technology used to package applications and dependencies for consistent deployment.
CAR011,DevOps Engineer,SK008,Kubernetes,DevOps,Critical,Yes,Yes,"Container orchestration platform for automating application deployment, scaling, and management."
CAR011,DevOps Engineer,SK020,CI/CD,DevOps,Critical,Yes,No,Continuous integration and continuous deployment practices for automated software delivery.
CAR011,DevOps Engineer,SK012,AWS,Cloud,High,Yes,No,Amazon Web Services cloud computing platform for deploying scalable applications.
CAR011,DevOps Engineer,SK030,Terraform,DevOps,High,Yes,Yes,"Infrastructure as code software tool for building, changing, and versioning infrastructure safely."
CAR011,DevOps Engineer,SK061,Bash Scripting,Systems,High,Yes,No,Command language and Unix shell used for automating system administration tasks.
CAR011,DevOps Engineer,SK001,Python,Programming,Medium,Yes,Yes,"General-purpose programming language widely used for AI, machine learning, and backend development."
CAR012,Cybersecurity Analyst,SK031,Network Security,Cybersecurity,Critical,Yes,No,Practices and technologies designed to protect the usability and integrity of networks.
CAR012,Cybersecurity Analyst,SK063,Penetration Testing,Cybersecurity,High,Yes,No,"Practice of testing a computer system, network or web application to find security vulnerabilities."
CAR012,Cybersecurity Analyst,SK064,SIEM,Cybersecurity,High,Yes,No,Security information and event management for real-time analysis of security alerts.
CAR012,Cybersecurity Analyst,SK001,Python,Programming,Medium,Yes,Yes,"General-purpose programming language widely used for AI, machine learning, and backend development."
CAR012,Cybersecurity Analyst,SK065,Ethical Hacking,Cybersecurity,High,Yes,No,Lawful and authorized bypassing of system security to identify potential data breaches.
CAR012,Cybersecurity Analyst,SK021,Linux,Systems,High,Yes,No,"Open-source operating system widely used for servers, cloud infrastructure, and development."
CAR013,UI/UX Designer,SK055,Figma,UI/UX,Critical,Yes,Yes,Collaborative web application for interface design and prototyping.
CAR013,UI/UX Designer,SK066,Adobe XD,UI/UX,High,Yes,No,Vector-based user experience design tool for web apps and mobile apps.
CAR013,UI/UX Designer,SK067,Wireframing,UI/UX,Critical,Yes,No,Creating structural blueprints for web pages or apps to establish layout and functionality.
CAR013,UI/UX Designer,SK068,Prototyping,UI/UX,Critical,Yes,No,Building interactive models of applications to test user flows and interactions.
CAR013,UI/UX Designer,SK018,HTML/CSS,Web Development,Medium,Yes,No,Fundamental technologies for structuring and styling content on the World Wide Web.
CAR014,Product Manager,SK069,Agile Methodologies,Management,Critical,Yes,No,Project management approaches focusing on iterative development and continuous feedback.
CAR014,Product Manager,SK070,Scrum,Management,High,Yes,No,"Agile framework for developing, delivering, and sustaining complex products."
CAR014,Product Manager,SK071,Jira,Management,High,Yes,No,Proprietary issue tracking product developed by Atlassian for bug tracking and agile project management.
CAR014,Product Manager,SK072,Product Strategy,Management,Critical,Yes,No,High-level plan describing what a business hopes to accomplish with its product.
CAR014,Product Manager,SK073,Data Analysis,Data Science,High,Yes,No,"Process of inspecting, cleansing, transforming, and modeling data to discover useful information."
CAR015,Blockchain Developer,SK074,Solidity,Blockchain,Critical,Yes,Yes,Object-oriented programming language for writing smart contracts on various blockchain platforms.
CAR015,Blockchain Developer,SK075,Ethereum,Blockchain,Critical,Yes,Yes,"Decentralized, open-source blockchain with smart contract functionality."
CAR015,Blockchain Developer,SK076,Smart Contracts,Blockchain,Critical,Yes,Yes,Self-executing contracts with the terms of the agreement directly written into lines of code.
CAR015,Blockchain Developer,SK015,JavaScript,Programming,High,Yes,No,"Core programming language of the Web, used for interactive and dynamic content."
CAR015,Blockchain Developer,SK014,C++,Programming,Medium,No,No,General-purpose programming language known for performance and system-level control.
CAR016,Game Developer,SK077,Unity,Game Development,Critical,Yes,Yes,Cross-platform game engine developed by Unity Technologies.
CAR016,Game Developer,SK078,C#,Programming,Critical,Yes,No,"Modern, object-oriented, and type-safe programming language."
CAR016,Game Developer,SK079,Unreal Engine,Game Development,High,Yes,Yes,3D computer graphics game engine developed by Epic Games.
CAR016,Game Developer,SK014,C++,Programming,High,No,No,General-purpose programming language known for performance and system-level control.
CAR016,Game Developer,SK080,3D Modeling,Game Development,Medium,Yes,No,Process of developing a mathematical representation of any surface of an object in three dimensions.
CAR017,QA Engineer,SK081,Selenium,QA,Critical,Yes,No,Portable framework for testing web applications.
CAR017,QA Engineer,SK082,Automated Testing,QA,Critical,Yes,No,Use of software separate from the software being tested to control the execution of tests.
CAR017,QA Engineer,SK083,Manual Testing,QA,High,Yes,No,Process of manually testing software for defects without using automated tools.
CAR017,QA Engineer,SK001,Python,Programming,High,Yes,Yes,"General-purpose programming language widely used for AI, machine learning, and backend development."
CAR017,QA Engineer,SK013,Java,Programming,Medium,Yes,No,"High-level, class-based, object-oriented programming language widely used for enterprise applications."
CAR018,Database Administrator,SK005,SQL,Database,Critical,Yes,No,"Query language used to store, retrieve, and analyze structured data in databases."
CAR018,Database Administrator,SK084,Oracle DB,Database,High,Yes,No,Multi-model database management system produced and marketed by Oracle Corporation.
CAR018,Database Administrator,SK085,Database Tuning,Database,High,Yes,No,Process of maximizing a database's use of system resources to perform work as efficiently as possible.
CAR018,Database Administrator,SK023,PostgreSQL,Database,High,Yes,No,"Advanced, enterprise-class open-source relational database system."
CAR018,Database Administrator,SK022,MongoDB,Database,Medium,Yes,No,NoSQL document database designed for scalability and flexible data schemas.
CAR019,System Administrator,SK021,Linux,Systems,Critical,Yes,No,"Open-source operating system widely used for servers, cloud infrastructure, and development."
CAR019,System Administrator,SK086,Windows Server,Systems,High,Yes,No,Group of operating systems designed by Microsoft that supports enterprise-level management.
CAR019,System Administrator,SK087,Active Directory,Systems,High,Yes,No,Directory service developed by Microsoft for Windows domain networks.
CAR019,System Administrator,SK088,VMware,Systems,High,Yes,No,Cloud computing and virtualization technology company.
CAR019,System Administrator,SK061,Bash Scripting,Systems,High,Yes,No,Command language and Unix shell used for automating system administration tasks.
CAR020,Site Reliability Engineer,SK008,Kubernetes,DevOps,Critical,Yes,Yes,"Container orchestration platform for automating application deployment, scaling, and management."
CAR020,Site Reliability Engineer,SK089,Monitoring/Alerting,DevOps,Critical,Yes,No,Practices and tools for observing system health and notifying teams of issues.
CAR020,Site Reliability Engineer,SK090,Incident Management,DevOps,High,Yes,No,Process used by DevOps and IT Operations teams to respond to an unplanned event or service interruption.
CAR020,Site Reliability Engineer,SK001,Python,Programming,High,Yes,Yes,"General-purpose programming language widely used for AI, machine learning, and backend development."
CAR020,Site Reliability Engineer,SK012,AWS,Cloud,High,Yes,No,Amazon Web Services cloud computing platform for deploying scalable applications.
CAR021,Embedded Systems Engineer,SK001,Python,Programming,High,Yes,Yes,"General-purpose programming language widely used for AI, machine learning, and backend development."
CAR021,Embedded Systems Engineer,SK014,C++,Programming,Critical,No,No,General-purpose programming language known for performance and system-level control.
CAR021,Embedded Systems Engineer,SK101,C,Programming,Critical,Yes,No,Procedural programming language essential for low-level system access and embedded firmware.
CAR021,Embedded Systems Engineer,SK102,Microcontrollers,Embedded Systems,Critical,Yes,No,Compact integrated circuits designed to govern a specific operation in an embedded system.
CAR021,Embedded Systems Engineer,SK103,RTOS,Embedded Systems,High,Yes,No,Real-time operating system intended to serve real-time applications that process data as it comes in.
CAR021,Embedded Systems Engineer,SK104,Embedded Linux,Embedded Systems,High,Yes,Yes,Usage of Linux operating system in embedded computer systems.
CAR021,Embedded Systems Engineer,SK105,ARM Architecture,Embedded Systems,Critical,Yes,No,Family of RISC instruction set architectures for computer processors.
CAR021,Embedded Systems Engineer,SK106,SPI/I2C/UART,Embedded Systems,Critical,Yes,No,Standard serial communication protocols used for interfacing microcontrollers with peripherals.
CAR021,Embedded Systems Engineer,SK007,Git,DevOps,High,Yes,No,Version control system used for tracking code changes and collaborating on software.
CAR021,Embedded Systems Engineer,SK107,IoT Protocols,IoT,Medium,Yes,Yes,Communication protocols like MQTT and CoAP used for Internet of Things devices.
CAR021,Embedded Systems Engineer,SK108,Hardware Debugging,Embedded Systems,High,Yes,No,Process of identifying and resolving bugs in hardware using tools like oscilloscopes and logic analyzers.
CAR022,VLSI Design Engineer,SK109,Verilog,VLSI,Critical,Yes,No,Hardware description language used to model electronic systems.
CAR022,VLSI Design Engineer,SK110,SystemVerilog,VLSI,Critical,Yes,Yes,Combined hardware description and hardware verification language.
CAR022,VLSI Design Engineer,SK111,VHDL,VLSI,High,No,No,Hardware description language used in electronic design automation to describe digital and mixed-signal systems.
CAR022,VLSI Design Engineer,SK112,ASIC Design,VLSI,Critical,Yes,No,Application-specific integrated circuit design for a particular use rather than general-purpose use.
CAR022,VLSI Design Engineer,SK113,FPGA,VLSI,High,Yes,Yes,Field-programmable gate arrays designed to be configured by a customer or a designer after manufacturing.
CAR022,VLSI Design Engineer,SK114,RTL Design,VLSI,Critical,Yes,No,Register-transfer level design abstraction used in synchronous digital circuits.
CAR022,VLSI Design Engineer,SK115,Physical Design,VLSI,High,Yes,No,Process of transforming a circuit description into the physical layout.
CAR022,VLSI Design Engineer,SK116,Static Timing Analysis,VLSI,High,Yes,No,Method of computing the expected timing of a digital circuit without requiring simulation.
CAR022,VLSI Design Engineer,SK001,Python,Programming,Medium,Yes,Yes,"General-purpose programming language widely used for AI, machine learning, and backend development."
CAR022,VLSI Design Engineer,SK117,Tcl/Tk,Programming,Medium,Yes,No,Scripting language commonly used for rapid prototyping and scripted applications in EDA tools.
CAR023,Blockchain Developer,SK074,Solidity,Blockchain,Critical,Yes,Yes,Object-oriented programming language for writing smart contracts on various blockchain platforms.
CAR023,Blockchain Developer,SK075,Ethereum,Blockchain,Critical,Yes,Yes,"Decentralized, open-source blockchain with smart contract functionality."
CAR023,Blockchain Developer,SK076,Smart Contracts,Blockchain,Critical,Yes,Yes,Self-executing contracts with the terms of the agreement directly written into lines of code.
CAR023,Blockchain Developer,SK015,JavaScript,Programming,High,Yes,No,"Core programming language of the Web, used for interactive and dynamic content."
CAR023,Blockchain Developer,SK050,TypeScript,Programming,High,Yes,Yes,Strongly typed programming language that builds on JavaScript for larger scale applications.
CAR023,Blockchain Developer,SK118,Web3.js,Blockchain,High,Yes,Yes,"Collection of libraries that allow you to interact with a local or remote ethereum node using HTTP, IPC or WebSocket."
CAR023,Blockchain Developer,SK119,Cryptography,Cybersecurity,High,Yes,No,Practice and study of techniques for secure communication in the presence of adversarial behavior.
CAR023,Blockchain Developer,SK120,Rust,Programming,Medium,Yes,Yes,"Multi-paradigm, general-purpose programming language designed for performance and safety, especially safe concurrency."
CAR023,Blockchain Developer,SK121,Go,Programming,Medium,Yes,No,"Statically typed, compiled programming language designed at Google."
CAR023,Blockchain Developer,SK007,Git,DevOps,Critical,Yes,No,Version control system used for tracking code changes and collaborating on software.
CAR023,Blockchain Developer,SK122,Hardhat/Truffle,Blockchain,High,Yes,No,Development environments and testing frameworks for building on Ethereum.
CAR024,Smart Contract Developer,SK074,Solidity,Blockchain,Critical,Yes,Yes,Object-oriented programming language for writing smart contracts on various blockchain platforms.
CAR024,Smart Contract Developer,SK076,Smart Contracts,Blockchain,Critical,Yes,Yes,Self-executing contracts with the terms of the agreement directly written into lines of code.
CAR024,Smart Contract Developer,SK075,Ethereum,Blockchain,Critical,Yes,Yes,"Decentralized, open-source blockchain with smart contract functionality."
CAR024,Smart Contract Developer,SK119,Cryptography,Cybersecurity,High,Yes,No,Practice and study of techniques for secure communication in the presence of adversarial behavior.
CAR024,Smart Contract Developer,SK123,Smart Contract Security,Cybersecurity,Critical,Yes,Yes,Practices and auditing processes to identify vulnerabilities in blockchain smart contracts.
CAR024,Smart Contract Developer,SK122,Hardhat/Truffle,Blockchain,High,Yes,No,Development environments and testing frameworks for building on Ethereum.
CAR024,Smart Contract Developer,SK118,Web3.js,Blockchain,Medium,Yes,Yes,"Collection of libraries that allow you to interact with a local or remote ethereum node using HTTP, IPC or WebSocket."
CAR024,Smart Contract Developer,SK015,JavaScript,Programming,High,Yes,No,"Core programming language of the Web, used for interactive and dynamic content."
CAR024,Smart Contract Developer,SK007,Git,DevOps,High,Yes,No,Version control system used for tracking code changes and collaborating on software.
CAR024,Smart Contract Developer,SK124,DeFi Protocols,Blockchain,Medium,Yes,Yes,Decentralized finance applications and protocols built on blockchain networks.
CAR025,Game Developer,SK077,Unity,Game Development,Critical,Yes,Yes,Cross-platform game engine developed by Unity Technologies.
CAR025,Game Developer,SK078,C#,Programming,Critical,Yes,No,"Modern, object-oriented, and type-safe programming language."
CAR025,Game Developer,SK079,Unreal Engine,Game Development,High,Yes,Yes,3D computer graphics game engine developed by Epic Games.
CAR025,Game Developer,SK014,C++,Programming,High,No,No,General-purpose programming language known for performance and system-level control.
CAR025,Game Developer,SK080,3D Modeling,Game Development,Medium,Yes,No,Process of developing a mathematical representation of any surface of an object in three dimensions.
CAR025,Game Developer,SK125,Game Physics,Game Development,High,Yes,No,Implementation of physics simulations to create realistic movement and collisions in games.
CAR025,Game Developer,SK126,Computer Graphics,Game Development,High,Yes,No,"Generation of visual images using computers, essential for rendering game environments."
CAR025,Game Developer,SK127,Game AI,Game Development,Medium,Yes,No,"Artificial intelligence techniques used to create responsive, adaptive or intelligent behaviors primarily in non-player characters."
CAR025,Game Developer,SK007,Git,DevOps,High,Yes,No,Version control system used for tracking code changes and collaborating on software.
CAR025,Game Developer,SK128,Multiplayer Networking,Game Development,Medium,Yes,No,Techniques for synchronizing game state across multiple clients over a network.
CAR026,UI/UX Designer,SK055,Figma,UI/UX,Critical,Yes,Yes,Collaborative web application for interface design and prototyping.
