source_skill_id,source_skill,target_skill_id,target_skill,relationship,reason,difficulty,domain
SK003,Deep Learning,SK009,TensorFlow,prerequisite,TensorFlow requires an understanding of neural network architectures and tensor operations.,Advanced,AI/ML
SK003,Deep Learning,SK160,Natural Language Processing,recommended_prerequisite,Modern NLP relies heavily on deep learning architectures like RNNs and Transformers.,Advanced,AI/ML
SK003,Deep Learning,SK232,Computer Vision,strong_prerequisite,"Deep learning, specifically CNNs, forms the backbone of modern computer vision tasks.",Advanced,AI/ML
SK160,Natural Language Processing,SK164,LLMs,strong_prerequisite,LLMs are advanced applications of NLP principles like tokenization and semantic understanding.,Advanced,Generative AI
SK160,Natural Language Processing,SK161,Hugging Face Transformers,prerequisite,Hugging Face provides the tools to implement advanced NLP transformer models.,Advanced,AI/ML
SK161,Hugging Face Transformers,SK164,LLMs,recommended_prerequisite,Familiarity with transformer models is critical for training and fine-tuning LLMs.,Advanced,Generative AI
SK164,LLMs,SK166,Prompt Engineering,prerequisite,Understanding how LLMs generate text is necessary to effectively design prompts.,Intermediate,Generative AI
SK164,LLMs,SK036,Generative AI,strong_prerequisite,LLMs are a foundational technology within the broader Generative AI ecosystem.,Advanced,Generative AI
SK165,Vector Databases,SK036,Generative AI,recommended_prerequisite,Vector databases are used for RAG (Retrieval-Augmented Generation) in Generative AI apps.,Advanced,Generative AI
SK232,Computer Vision,SK156,OpenCV,prerequisite,OpenCV is the standard library used to implement computer vision algorithms.,Intermediate,AI/ML
SK232,Computer Vision,SK157,Image Processing,strong_prerequisite,Image processing techniques are the foundational steps for computer vision pipelines.,Intermediate,AI/ML
SK157,Image Processing,SK158,Object Detection,prerequisite,Processing images is required before models can detect and classify objects within them.,Advanced,AI/ML
SK157,Image Processing,SK159,Image Segmentation,prerequisite,Image segmentation relies on advanced pixel-level image processing and classification.,Advanced,AI/ML
SK005,SQL,SK142,Data Analysis,strong_prerequisite,SQL is essential for querying and extracting the data needed for analysis.,Beginner,Analytics
SK005,SQL,SK011,Apache Spark,recommended_prerequisite,Spark SQL relies on traditional SQL syntax for distributed data processing.,Intermediate,Data Engineering
SK011,Apache Spark,SK205,Hadoop,recommended_prerequisite,Spark is often deployed on top of Hadoop's distributed file system (HDFS).,Advanced,Data Engineering
SK086,Linux,SK007,Git,recommended_prerequisite,Git is heavily used via the Linux command line in professional environments.,Beginner,DevOps
SK086,Linux,SK006,Docker,strong_prerequisite,Docker containers are fundamentally based on Linux kernel features like cgroups.,Intermediate,DevOps
SK006,Docker,SK015,Kubernetes,strong_prerequisite,Kubernetes is an orchestration system designed specifically to manage Docker containers.,Advanced,DevOps
SK006,Docker,SK008,CI/CD,recommended_prerequisite,"Docker ensures consistent environments, which is critical for reliable CI/CD pipelines.",Intermediate,DevOps
SK007,Git,SK008,CI/CD,strong_prerequisite,CI/CD pipelines are triggered by code changes tracked and merged in Git.,Intermediate,DevOps
SK248,Cloud Computing,SK012,AWS,prerequisite,General cloud concepts must be understood before learning specific AWS services.,Intermediate,Cloud
SK248,Cloud Computing,SK013,Microsoft Azure,prerequisite,Foundational cloud knowledge applies directly to Azure infrastructure and services.,Intermediate,Cloud
SK248,Cloud Computing,SK014,GCP,prerequisite,General cloud networking and storage concepts are required to navigate GCP.,Intermediate,Cloud
SK012,AWS,SK015,Kubernetes,recommended_prerequisite,Managed Kubernetes (EKS) requires an understanding of underlying AWS networking.,Advanced,DevOps
SK088,Network Troubleshooting,SK191,Network Security,strong_prerequisite,Understanding how networks fail and operate is required to secure them effectively.,Intermediate,Cybersecurity
SK191,Network Security,SK190,Penetration Testing,strong_prerequisite,Network security knowledge is required to identify and exploit network vulnerabilities.,Advanced,Cybersecurity
SK191,Network Security,SK194,Ethical Hacking,strong_prerequisite,Ethical hacking relies on deep knowledge of network protocols and security flaws.,Advanced,Cybersecurity
SK193,Cryptography,SK202,PKI,strong_prerequisite,Public Key Infrastructure is entirely built upon cryptographic algorithms and keys.,Advanced,Vulnerability Analysis
SK193,Cryptography,SK203,Security Protocols,strong_prerequisite,Protocols like TLS/SSL require a solid understanding of cryptographic principles.,Advanced,Vulnerability Analysis
SK190,Penetration Testing,SK195,Vulnerability Analysis,prerequisite,Penetration testing methodologies are used to systematically analyze vulnerabilities.,Advanced,Cybersecurity
SK190,Penetration Testing,SK192,Application Security,recommended_prerequisite,Testing applications for exploits provides context for securing them during development.,Advanced,Cybersecurity
SK516,C,SK212,Embedded C,strong_prerequisite,"Embedded C is an extension of standard C, optimized for hardware constraints.",Intermediate,Embedded Systems
SK212,Embedded C,SK213,Microcontrollers,strong_prerequisite,Microcontrollers are primarily programmed and configured using Embedded C.,Intermediate,Embedded Systems
SK213,Microcontrollers,SK105,ARM Architecture,prerequisite,ARM is the dominant architecture used in modern microcontrollers and embedded systems.,Advanced,Embedded Systems
SK105,ARM Architecture,SK217,ARM Cortex,prerequisite,ARM Cortex processors are specific implementations of the broader ARM architecture.,Advanced,Embedded Systems
SK213,Microcontrollers,SK214,RTOS,strong_prerequisite,Real-Time Operating Systems are deployed on microcontrollers to manage hardware tasks.,Advanced,Embedded Systems
SK213,Microcontrollers,SK104,Firmware Development,strong_prerequisite,Firmware is the low-level software written directly for microcontrollers.,Advanced,Embedded Systems
SK229,Digital Electronics,SK531,Verilog,strong_prerequisite,Verilog is used to model the digital electronic circuits and logic gates.,Intermediate,VLSI
SK229,Digital Electronics,SK530,VHDL,strong_prerequisite,VHDL is a hardware description language based entirely on digital electronic concepts.,Intermediate,VLSI
SK531,Verilog,SK541,SystemVerilog,prerequisite,"SystemVerilog is a superset of Verilog, adding advanced verification features.",Advanced,VLSI
SK229,Digital Electronics,SK535,FPGA,strong_prerequisite,FPGAs are arrays of programmable digital logic blocks that require digital design knowledge.,Intermediate,VLSI
SK535,FPGA,SK543,RTL Design,strong_prerequisite,Register-Transfer Level design is the abstraction used to program FPGAs.,Advanced,VLSI
SK219,Circuit Design,SK220,PCB Design,strong_prerequisite,A logical circuit design must be completed before laying out the physical PCB.,Intermediate,VLSI
SK220,PCB Design,SK225,Altium,prerequisite,Altium Designer is a professional software tool used specifically for PCB design.,Intermediate,VLSI
SK193,Cryptography,SK241,Blockchain,strong_prerequisite,Blockchain ledgers rely heavily on cryptographic hashes and public-key cryptography.,Intermediate,Blockchain
SK241,Blockchain,SK117,Bitcoin,prerequisite,Bitcoin is the original and most prominent implementation of blockchain technology.,Intermediate,Blockchain
SK241,Blockchain,SK115,Solidity,strong_prerequisite,Solidity is used to write smart contracts that execute on blockchain networks.,Intermediate,Blockchain
SK115,Solidity,SK243,Web3.js,prerequisite,Web3.js is used to interact with the smart contracts written in Solidity.,Intermediate,Blockchain
SK115,Solidity,SK244,Ethers.js,prerequisite,Ethers.js is a library used to interface with Ethereum and Solidity smart contracts.,Intermediate,Blockchain
SK241,Blockchain,SK116,Hyperledger,recommended_prerequisite,Hyperledger provides enterprise blockchain frameworks requiring core blockchain knowledge.,Advanced,Blockchain
SK062,User Research,SK061,Wireframing,recommended_prerequisite,User research provides the insights needed to sketch effective wireframes.,Beginner,UI/UX
SK061,Wireframing,SK063,Prototyping,prerequisite,Wireframes serve as the structural blueprint before building interactive prototypes.,Intermediate,UI/UX
SK063,Prototyping,SK064,Figma,prerequisite,Figma is the industry-standard software tool used to create UI prototypes.,Intermediate,UI/UX
SK063,Prototyping,SK066,Adobe XD,prerequisite,Adobe XD is a vector-based tool used specifically for designing and prototyping user experiences.,Intermediate,UI/UX
SK080,3D Modeling,SK082,Blender,prerequisite,Blender is a software suite used to execute 3D modeling and animation tasks.,Intermediate,Game Design
SK080,3D Modeling,SK079,Unity,recommended_prerequisite,3D models are essential assets imported into Unity for game development.,Intermediate,AR/VR
SK080,3D Modeling,SK078,Unreal Engine,recommended_prerequisite,High-quality 3D models are required to build environments in Unreal Engine.,Intermediate,AR/VR
SK106,C++,SK078,Unreal Engine,strong_prerequisite,Unreal Engine relies on C++ for advanced game logic and performance optimization.,Advanced,AR/VR
Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8
SK001,Python,SK300,Django,strong_prerequisite,Python is the underlying language used to build applications with the Django framework.,Intermediate,Backend Development
SK001,Python,SK301,FastAPI,strong_prerequisite,FastAPI is a modern Python web framework requiring strong knowledge of Python type hints.,Intermediate,Backend Development
SK005,SQL,SK303,SQLAlchemy,recommended_prerequisite,Understanding raw SQL helps developers use the SQLAlchemy ORM more effectively.,Intermediate,Backend Development
SK013,Java,SK304,Spring Boot,strong_prerequisite,Spring Boot is a Java-based framework requiring a solid understanding of Java enterprise concepts.,Intermediate,Backend Development
SK013,Java,SK305,Maven,recommended_prerequisite,Java applications typically rely on Maven for dependency management and build automation.,Beginner,Backend Development
SK304,Spring Boot,SK306,Microservices,recommended_prerequisite,Spring Boot provides the tools necessary to develop and deploy independent microservices.,Advanced,Architecture
SK015,JavaScript,SK017,Node.js,strong_prerequisite,Node.js is a runtime environment that executes JavaScript code outside a web browser.,Intermediate,Backend Development
SK017,Node.js,SK307,Express.js,strong_prerequisite,Express.js is a minimal and flexible Node.js web application framework.,Intermediate,Backend Development
SK307,Express.js,SK019,REST APIs,prerequisite,Express.js is commonly used to design and route RESTful APIs.,Intermediate,Backend Development
SK018,HTML/CSS,SK308,Sass,prerequisite,Sass is a preprocessor scripting language that is compiled into standard CSS.,Beginner,Frontend Development
SK018,HTML/CSS,SK309,Tailwind CSS,prerequisite,Tailwind CSS is a utility-first framework that requires foundational CSS knowledge to customize.,Intermediate,Frontend Development
SK049,React,SK310,Next.js,strong_prerequisite,Next.js is a React framework that extends React with server-side rendering and routing.,Intermediate,Frontend Development
SK049,React,SK311,Redux,recommended_prerequisite,Redux is a predictable state container frequently used alongside React for state management.,Intermediate,Frontend Development
SK050,Vue.js,SK312,Vuex,recommended_prerequisite,Vuex is the state management pattern and library tailored specifically for Vue.js applications.,Intermediate,Frontend Development
SK050,Vue.js,SK313,Nuxt.js,strong_prerequisite,Nuxt.js is a high-level framework built on top of Vue.js for server-side rendering.,Intermediate,Frontend Development
SK015,JavaScript,SK314,DOM Manipulation,strong_prerequisite,JavaScript is required to interact with and dynamically update the Document Object Model.,Beginner,Frontend Development
SK041,Statistics,SK315,Hypothesis Testing,strong_prerequisite,Hypothesis testing is a core statistical method used to infer results from sample data.,Intermediate,Data Science
SK041,Statistics,SK316,A/B Testing,strong_prerequisite,A/B testing relies entirely on statistical significance and hypothesis testing principles.,Intermediate,Data Science
SK010,Pandas,SK317,Feature Engineering,strong_prerequisite,Pandas is the primary tool used to manipulate datasets and create new features for models.,Intermediate,Data Science
SK042,Data Visualization,SK318,Tableau,prerequisite,General data visualization concepts are required to build effective dashboards in Tableau.,Beginner,Analytics
SK042,Data Visualization,SK319,Power BI,prerequisite,Understanding how to represent data visually is essential before using Power BI tools.,Beginner,Analytics
SK001,Python,SK320,SciPy,prerequisite,SciPy is a scientific computation library built on top of the Python programming language.,Intermediate,Data Science
SK002,Machine Learning,SK321,XGBoost,prerequisite,XGBoost is an advanced gradient boosting algorithm requiring core machine learning knowledge.,Advanced,AI/ML
SK002,Machine Learning,SK322,Random Forests,prerequisite,Random Forests are ensemble learning methods based on foundational decision tree concepts.,Intermediate,AI/ML
SK009,TensorFlow,SK323,Keras,recommended_prerequisite,Keras acts as a high-level neural networks API running on top of TensorFlow.,Intermediate,AI/ML
SK164,LLMs,SK324,LangChain,strong_prerequisite,LangChain is a framework designed specifically to develop applications powered by language models.,Advanced,Generative AI
SK164,LLMs,SK325,LlamaIndex,strong_prerequisite,LlamaIndex provides data frameworks specifically for connecting custom data sources to LLMs.,Advanced,Generative AI
SK003,Deep Learning,SK326,GANs,strong_prerequisite,Generative Adversarial Networks require deep understanding of neural network architectures and loss optimization.,Advanced,Generative AI
SK160,Natural Language Processing,SK327,Word Embeddings,strong_prerequisite,Word embeddings are foundational NLP techniques used to represent text as numerical vectors.,Intermediate,AI/ML
SK005,SQL,SK328,Data Modeling,recommended_prerequisite,Understanding how data is queried helps engineers design better relational data models.,Intermediate,Data Engineering
SK025,ETL,SK329,Apache Airflow,strong_prerequisite,Apache Airflow is a platform used to programmatically author and schedule ETL workflows.,Advanced,Data Engineering
SK024,Data Warehousing,SK046,Snowflake,strong_prerequisite,Snowflake is a cloud data warehouse requiring knowledge of data warehousing architecture.,Intermediate,Data Engineering
SK024,Data Warehousing,SK330,BigQuery,strong_prerequisite,BigQuery is a serverless data warehouse requiring foundational data storage and querying concepts.,Intermediate,Data Engineering
SK024,Data Warehousing,SK331,Amazon Redshift,strong_prerequisite,Amazon Redshift requires an understanding of columnar storage and data warehouse optimization.,Intermediate,Data Engineering
SK011,Apache Spark,SK332,Databricks,strong_prerequisite,Databricks is a unified analytics platform built heavily around Apache Spark clusters.,Intermediate,Data Engineering
SK001,Python,SK333,PySpark,strong_prerequisite,"PySpark is the Python API for Apache Spark, requiring strong Python programming skills.",Intermediate,Data Engineering
SK012,AWS,SK334,AWS EC2,prerequisite,Understanding the AWS ecosystem is required before provisioning EC2 virtual servers.,Beginner,Cloud
SK012,AWS,SK335,AWS S3,prerequisite,AWS S3 is the foundational object storage service within the Amazon Web Services ecosystem.,Beginner,Cloud
SK012,AWS,SK336,AWS Lambda,recommended_prerequisite,AWS Lambda is a serverless compute service requiring general AWS architecture knowledge.,Intermediate,Cloud
SK012,AWS,SK337,AWS IAM,strong_prerequisite,Identity and Access Management is critical for securing all other AWS cloud services.,Intermediate,Cloud
SK012,AWS,SK338,Amazon RDS,prerequisite,Relational Database Service requires understanding of AWS networking and storage concepts.,Intermediate,Cloud
SK013,Microsoft Azure,SK339,Azure Virtual Machines,prerequisite,Foundational Azure knowledge is needed to deploy and manage Azure VMs.,Beginner,Cloud
SK013,Microsoft Azure,SK340,Azure Blob Storage,prerequisite,Blob Storage is Azure's object storage solution requiring basic cloud concepts.,Beginner,Cloud
SK013,Microsoft Azure,SK341,Azure Functions,recommended_prerequisite,Azure Functions provide serverless compute capabilities within the Azure cloud environment.,Intermediate,Cloud
SK013,Microsoft Azure,SK342,Azure Active Directory,strong_prerequisite,Azure AD is the foundational identity and access management service for Azure.,Intermediate,Cloud
SK014,GCP,SK343,Google Compute Engine,prerequisite,Google Compute Engine is the primary IaaS offering within the Google Cloud Platform.,Beginner,Cloud
SK014,GCP,SK344,Google Cloud Storage,prerequisite,GCS is the unified object storage service for developers and enterprises on GCP.,Beginner,Cloud
SK014,GCP,SK345,Google Kubernetes Engine,strong_prerequisite,GKE requires understanding of both GCP infrastructure and Kubernetes orchestration.,Advanced,Cloud
SK021,Linux,SK061,Bash Scripting,strong_prerequisite,Bash scripting requires a fundamental understanding of Linux commands and file systems.,Intermediate,DevOps
SK061,Bash Scripting,SK346,Automation,recommended_prerequisite,Bash scripts are commonly used as the first step in automating system administration tasks.,Intermediate,DevOps
SK007,Git,SK347,GitHub Actions,strong_prerequisite,GitHub Actions automate workflows directly based on Git repository events and triggers.,Intermediate,DevOps
SK008,CI/CD,SK348,Jenkins,prerequisite,Jenkins is an open-source automation server used to implement CI/CD pipelines.,Intermediate,DevOps
SK008,CI/CD,SK349,GitLab CI,prerequisite,GitLab CI is a continuous integration tool built directly into GitLab repositories.,Intermediate,DevOps
SK248,Cloud Computing,SK030,Terraform,strong_prerequisite,"Terraform provisions cloud infrastructure, requiring knowledge of how cloud resources operate.",Intermediate,DevOps
SK030,Terraform,SK350,Infrastructure as Code,strong_prerequisite,Terraform is the leading tool used to implement Infrastructure as Code methodologies.,Advanced,DevOps
SK015,Kubernetes,SK351,Helm,recommended_prerequisite,"Helm acts as a package manager for Kubernetes, requiring K8s architecture knowledge.",Intermediate,DevOps
SK015,Kubernetes,SK352,Prometheus,recommended_prerequisite,Prometheus is widely used for monitoring Kubernetes clusters and requires K8s networking knowledge.,Advanced,DevOps
SK352,Prometheus,SK353,Grafana,recommended_prerequisite,Grafana is commonly used to visualize the time-series metrics collected by Prometheus.,Intermediate,DevOps
SK021,Linux,SK354,Kali Linux,strong_prerequisite,Kali Linux is a Debian-derived Linux distribution designed for digital forensics and penetration testing.,Intermediate,Cybersecurity
SK088,Network Troubleshooting,SK355,Wireshark,strong_prerequisite,Wireshark is a network protocol analyzer that requires understanding of network traffic and packets.,Intermediate,Cybersecurity
SK194,Ethical Hacking,SK356,Burp Suite,strong_prerequisite,Burp Suite is a graphical tool for testing Web application security used by ethical hackers.,Intermediate,Cybersecurity
SK191,Network Security,SK357,Firewalls,prerequisite,Firewalls are foundational network security devices that monitor and filter network traffic.,Beginner,Cybersecurity
SK190,Penetration Testing,SK358,Metasploit,strong_prerequisite,Metasploit is a penetration testing framework that requires understanding of exploit methodologies.,Advanced,Cybersecurity
SK191,Network Security,SK359,Intrusion Detection Systems,strong_prerequisite,IDS monitors network traffic for malicious activity and requires strong network security knowledge.,Advanced,Cybersecurity
SK192,Application Security,SK360,OWASP Top 10,strong_prerequisite,The OWASP Top 10 is the standard awareness document for developers regarding application security.,Intermediate,Cybersecurity
SK026,Swift,SK361,iOS Development,strong_prerequisite,Swift is the primary programming language used to develop applications for Apple's iOS platform.,Intermediate,Mobile Development
SK027,Kotlin,SK362,Android Development,strong_prerequisite,"Kotlin is the modern, preferred programming language for building Android mobile applications.",Intermediate,Mobile Development
SK013,Java,SK362,Android Development,recommended_prerequisite,Java is a legacy but still widely used language for Android mobile application development.,Intermediate,Mobile Development
SK015,JavaScript,SK056,React Native,strong_prerequisite,React Native allows developers to build mobile apps using JavaScript and React concepts.,Intermediate,Mobile Development
SK363,Dart,SK057,Flutter,strong_prerequisite,Dart is the programming language required to build cross-platform applications using the Flutter framework.,Intermediate,Mobile Development
SK361,iOS Development,SK364,Core Data,recommended_prerequisite,Core Data is the framework used to manage the model layer objects in iOS applications.,Advanced,Mobile Development
SK362,Android Development,SK365,Room Database,recommended_prerequisite,Room provides an abstraction layer over SQLite to allow fluent database access in Android.,Intermediate,Mobile Development
SK366,Object-Oriented Programming,SK367,Design Patterns,strong_prerequisite,Design patterns provide reusable solutions to common problems in object-oriented software design.,Intermediate,Software Engineering
SK367,Design Patterns,SK368,System Design,recommended_prerequisite,Understanding small-scale design patterns helps architects design large-scale distributed systems.,Advanced,Architecture
SK368,System Design,SK306,Microservices,strong_prerequisite,Microservices architecture requires a deep understanding of distributed system design and trade-offs.,Advanced,Architecture
SK047,Software Architecture,SK369,Domain-Driven Design,recommended_prerequisite,DDD is an architectural approach that centers the software design on the business domain.,Advanced,Architecture
SK047,Software Architecture,SK370,Event-Driven Architecture,recommended_prerequisite,Event-driven architecture is a software design pattern where decoupled applications asynchronously publish and subscribe to events.,Advanced,Architecture
SK019,REST APIs,SK371,API Gateway,recommended_prerequisite,"An API Gateway manages, routes, and secures traffic to backend RESTful APIs.",Intermediate,Architecture
SK372,Software Testing,SK373,Automated Testing,strong_prerequisite,Foundational testing concepts must be understood before writing scripts to automate them.,Intermediate,Testing
SK373,Automated Testing,SK374,Selenium,prerequisite,Selenium is a widely used framework for automating web browser testing.,Intermediate,Testing
SK373,Automated Testing,SK375,Cypress,prerequisite,Cypress is a modern frontend testing tool built for the modern web.,Intermediate,Testing
SK013,Java,SK376,JUnit,strong_prerequisite,JUnit is a unit testing framework for the Java programming language.,Intermediate,Testing
SK001,Python,SK377,PyTest,strong_prerequisite,PyTest is a testing framework based on Python requiring knowledge of Python syntax.,Intermediate,Testing
SK373,Automated Testing,SK378,Appium,recommended_prerequisite,"Appium is an open-source test automation framework for use with native, hybrid, and mobile web apps.",Advanced,Testing
SK005,SQL,SK023,PostgreSQL,prerequisite,PostgreSQL is an advanced relational database that uses and extends the SQL language.,Intermediate,Database
SK005,SQL,SK379,MySQL,prerequisite,MySQL is a widely used open-source relational database management system based on SQL.,Intermediate,Database
SK005,SQL,SK380,Oracle Database,prerequisite,Oracle Database is an enterprise multi-model database management system relying on SQL.,Advanced,Database
SK381,NoSQL,SK022,MongoDB,strong_prerequisite,MongoDB is a document-oriented database classified as a NoSQL database program.,Intermediate,Database
SK381,NoSQL,SK049,Redis,recommended_prerequisite,Redis is an in-memory data structure store that operates outside traditional relational NoSQL paradigms.,Intermediate,Database
SK381,NoSQL,SK382,Cassandra,strong_prerequisite,"Apache Cassandra is a highly scalable, distributed NoSQL database designed to handle large amounts of data.",Advanced,Database
SK381,NoSQL,SK383,DynamoDB,strong_prerequisite,Amazon DynamoDB is a fully managed proprietary NoSQL database service provided by AWS.,Intermediate,Database
SK212,Embedded C,SK384,Arduino,recommended_prerequisite,Arduino microcontrollers are primarily programmed using a variant of C/C++.,Beginner,Embedded Systems
SK021,Linux,SK385,Raspberry Pi,recommended_prerequisite,Raspberry Pi devices typically run Linux-based operating systems like Raspberry Pi OS.,Beginner,IoT
SK021,Linux,SK386,Embedded Linux,strong_prerequisite,Embedded Linux involves customizing the Linux kernel and user space for embedded devices.,Advanced,Embedded Systems
SK387,Networking Protocols,SK388,MQTT,strong_prerequisite,MQTT is a lightweight messaging protocol designed specifically for IoT and networking devices.,Intermediate,IoT
SK213,Microcontrollers,SK389,Sensor Integration,strong_prerequisite,Integrating sensors requires knowledge of how microcontrollers handle analog and digital inputs.,Intermediate,IoT
SK193,Cryptography,SK390,Hashing Algorithms,strong_prerequisite,Hashing is a fundamental cryptographic concept used for data integrity and password storage.,Intermediate,Cybersecurity
SK115,Solidity,SK391,Smart Contract Security,strong_prerequisite,Writing secure smart contracts requires deep knowledge of Solidity vulnerabilities and exploits.,Advanced,Blockchain
SK241,Blockchain,SK392,Consensus Mechanisms,strong_prerequisite,Consensus mechanisms like Proof of Work and Proof of Stake are core to blockchain operation.,Advanced,Blockchain
SK241,Blockchain,SK393,DeFi,recommended_prerequisite,Decentralized Finance applications are built entirely on top of blockchain networks and smart contracts.,Advanced,Blockchain
SK062,User Research,SK394,Usability Testing,strong_prerequisite,Usability testing is a technique used in user-centered interaction design to evaluate a product.,Intermediate,UI/UX
SK061,Wireframing,SK395,Information Architecture,recommended_prerequisite,Information architecture organizes content logically before wireframes are drawn.,Intermediate,UI/UX
SK063,Prototyping,SK396,Interaction Design,strong_prerequisite,Interaction design focuses on creating engaging interfaces with well-thought-out behaviors and prototypes.,Intermediate,UI/UX
SK064,Figma,SK397,Design Systems,recommended_prerequisite,Design systems are comprehensive libraries of reusable components often built and maintained in Figma.,Advanced,UI/UX
SK106,C++,SK398,Game Physics,recommended_prerequisite,C++ is heavily used to write high-performance game physics engines.,Advanced,Game Development
SK079,Unity,SK399,C# Scripting,strong_prerequisite,C# is the primary programming language used to write scripts and logic in the Unity game engine.,Intermediate,Game Development
SK078,Unreal Engine,SK400,Blueprints,prerequisite,Blueprints is the visual scripting system used extensively within Unreal Engine.,Beginner,Game Development
SK001,Python,SK401,Data Scraping,recommended_prerequisite,Python libraries like Beautiful Soup and Scrapy are standard tools for extracting web data.,Intermediate,Data Engineering
SK401,Data Scraping,SK402,Data Cleaning,strong_prerequisite,Scraped data is inherently messy and requires extensive cleaning before analysis.,Intermediate,Data Science
SK015,JavaScript,SK403,WebSockets,recommended_prerequisite,"WebSockets provide full-duplex communication channels over a single TCP connection, often implemented in JS.",Intermediate,Web Development
SK017,Node.js,SK404,Socket.io,strong_prerequisite,"Socket.io is a library that enables real-time, bidirectional communication for Node.js applications.",Intermediate,Web Development
SK019,REST APIs,SK405,Postman,recommended_prerequisite,"Postman is an API platform used by developers to build, test, and design REST APIs.",Beginner,Web Development
SK368,System Design,SK406,Load Balancing,strong_prerequisite,Load balancing is a core system design concept for distributing network traffic across servers.,Advanced,Architecture
SK368,System Design,SK407,Caching Strategies,strong_prerequisite,Caching is essential in system design to improve application performance and reduce database load.,Advanced,Architecture
SK049,Redis,SK407,Caching Strategies,recommended_prerequisite,Redis is widely used to implement in-memory caching strategies for web applications.,Intermediate,Architecture
SK008,CI/CD,SK408,ArgoCD,recommended_prerequisite,"ArgoCD is a declarative, GitOps continuous delivery tool specifically for Kubernetes.",Advanced,DevOps
SK015,Kubernetes,SK408,ArgoCD,strong_prerequisite,ArgoCD manages application deployments natively within Kubernetes clusters.,Advanced,DevOps
SK350,Infrastructure as Code,SK409,Ansible,recommended_prerequisite,"Ansible is an open-source software provisioning, configuration management, and application-deployment tool.",Intermediate,DevOps
SK021,Linux,SK409,Ansible,strong_prerequisite,Ansible relies heavily on SSH and Linux command execution to manage remote servers.,Intermediate,DevOps
SK190,Penetration Testing,SK410,Nmap,prerequisite,Nmap is a foundational network scanning tool used during the reconnaissance phase of penetration testing.,Beginner,Cybersecurity
SK194,Ethical Hacking,SK411,Social Engineering,recommended_prerequisite,"Social engineering targets human vulnerabilities, which is a critical aspect of comprehensive ethical hacking.",Intermediate,Cybersecurity
SK191,Network Security,SK412,VPN Technologies,strong_prerequisite,Virtual Private Networks are core network security tools used to encrypt traffic over untrusted networks.,Intermediate,Cybersecurity
SK392,Consensus Mechanisms,SK413,Proof of Stake,strong_prerequisite,"Proof of Stake is a specific, widely used consensus mechanism in modern blockchain networks.",Advanced,Blockchain
SK115,Solidity,SK414,Hardhat,recommended_prerequisite,"Hardhat is a development environment to compile, deploy, test, and debug Ethereum software written in Solidity.",Intermediate,Blockchain
SK366,Object-Oriented Programming,SK415,SOLID Principles,strong_prerequisite,SOLID principles are five design guidelines intended to make object-oriented designs more understandable and flexible.,Intermediate,Software Engineering
