project_id,project_name,domain,difficulty,github_url,description,tech_stack,tags,skills
PROJ_017,Grocery Delivery App,Mobile Development,Intermediate,https://github.com/shakyShane/grocery-app,"A grocery ordering application that connects customers with stores for product discovery, ordering, and delivery.","React Native, Node.js, MongoDB","Grocery, Delivery, Mobile","JavaScript, APIs, Authentication, Database Design, Payment Integration"
PROJ_018,Social Media Platform,Software Engineering,Advanced,https://github.com/adrianhajdin/project_mern_memories,"A social networking platform where users create posts, interact with content, and manage profiles.","React, Node.js, MongoDB","Social, Posts, Community","React, Authentication, Database Design, REST APIs, State Management"
PROJ_019,Instagram Clone,Software Engineering,Advanced,https://github.com/safak/youtube/tree/mern-social-app,"A photo-sharing social platform supporting profiles, posts, interactions, and media uploads.","React, Node.js, MongoDB","Social, Images, Instagram","React, Authentication, Image Handling, REST APIs, Database Design"
PROJ_020,Twitter Clone,Software Engineering,Intermediate,https://github.com/ooloth/twitter-clone,"A microblogging platform for publishing short posts, following users, and interacting with content.","React, Node.js, MongoDB","Social, Microblogging, Posts","React, Authentication, REST APIs, Database Design, State Management"
PROJ_021,LinkedIn Clone,Software Engineering,Advanced,https://github.com/CleverProgrammers/linkedin-clone,"A professional networking platform supporting profiles, connections, posts, and career-oriented interactions.","React, Node.js, MongoDB","Professional Network, Jobs, Social","React, Authentication, Database Design, REST APIs, State Management"
PROJ_022,Real-Time Chat Application,Software Engineering,Intermediate,https://github.com/adrianhajdin/project_chat_application,A messaging platform that enables users to exchange messages instantly through real-time communication.,"React, Node.js, Socket.IO, MongoDB","Chat, WebSockets, Real-Time","JavaScript, WebSockets, Authentication, REST APIs, Real-Time Communication"
PROJ_023,Discord Clone,Software Engineering,Advanced,https://github.com/antonioerdeljac/next13-discord-clone,"A community communication platform supporting servers, channels, messaging, and real-time collaboration.","Next.js, Node.js, Socket.IO, MongoDB","Chat, Community, Real-Time","React, WebSockets, Authentication, Real-Time Communication, Database Design"
PROJ_024,WhatsApp Clone,Software Engineering,Advanced,https://github.com/CleverProgrammers/whatsapp-mern,"A real-time messaging application supporting conversations, authentication, and instant message delivery.","React, Node.js, Socket.IO, MongoDB","Messaging, Chat, Real-Time","React, WebSockets, Authentication, Database Design, Real-Time Communication"
PROJ_025,Slack Clone,Software Engineering,Advanced,https://github.com/pusher/slack-clone-client,"A team communication platform supporting channels, direct messages, and collaborative conversations.","React, Node.js, Socket.IO, MongoDB","Collaboration, Chat, Teams","React, WebSockets, Authentication, Database Design, Real-Time Communication"
PROJ_026,Hotel Booking System,Database Management,Intermediate,https://github.com/machadop1407/hotel-management-full-stack,"A reservation system for searching hotels, managing rooms, processing bookings, and tracking reservations.","React, Node.js, MongoDB","Hotel, Booking, Reservation","Database Design, CRUD Operations, Authentication, REST APIs, Transaction Management"
PROJ_027,Airbnb Clone,Software Engineering,Advanced,https://github.com/safak/youtube/tree/airbnb-clone,"A property marketplace where users can discover accommodations, view listings, and manage reservations.","React, Node.js, MongoDB","Airbnb, Travel, Property","React, Authentication, Database Design, REST APIs, Search"
PROJ_028,Restaurant Reservation System,Database Management,Intermediate,https://github.com/mikhae128/restaurant-reservation,"A restaurant reservation system that manages tables, customer bookings, schedules, and availability.","React, Node.js, MySQL","Restaurant, Reservation, Booking","Database Design, CRUD Operations, Authentication, REST APIs"
PROJ_029,Movie Ticket Booking,Database Management,Intermediate,https://github.com/isuruAb/online-movie-ticket-booking-syste,"A ticket booking system allowing customers to select movies, seats, showtimes, and reservations.","JavaScript, Node.js, MySQL","Movies, Tickets, Booking","Database Design, CRUD Operations, Authentication, Payment Integration"
PROJ_030,Flight Booking System,Database Management,Advanced,https://github.com/coding-dojo-sndip/flight-booking-system,"A flight reservation system for searching flights, selecting seats, and managing passenger bookings.","Java, Spring Boot, MySQL","Flights, Booking, Travel","Database Design, CRUD Operations, Authentication, Transaction Management"
PROJ_031,Trello Clone,Software Engineering,Intermediate,https://github.com/reedbarger/trello-clone,"A project management application using boards, lists, and cards to organize collaborative tasks.","React, Node.js, MongoDB","Productivity, Kanban, Tasks","React, CRUD Operations, State Management, REST APIs, Database Design"
PROJ_032,Notion Clone,Software Engineering,Advanced,https://github.com/konstantinmuenster/notion-clone,"A collaborative workspace for organizing notes, documents, databases, and project information.","React, Node.js, MongoDB","Productivity, Notes, Collaboration","React, CRUD Operations, Authentication, Database Design, State Management"
PROJ_033,Jira Clone,Software Engineering,Advanced,https://github.com/oldboyxx/jira_clone,"A software project management system for tracking issues, tasks, workflows, and team progress.","React, Node.js, MongoDB","Jira, Agile, Project Management","React, CRUD Operations, Authentication, Database Design, Project Management"
PROJ_034,Task Management App,Software Engineering,Beginner,https://github.com/CleverProgrammers/mern-todo,"A task management application for creating, organizing, updating, and tracking personal work items.","React, Node.js, MongoDB","Tasks, Productivity, CRUD","JavaScript, CRUD Operations, REST APIs, Authentication, Database Design"
PROJ_035,Calendar Scheduling App,Software Engineering,Intermediate,https://github.com/calendso/calendso,"A scheduling application for creating events, managing calendars, and coordinating appointments.","React, Node.js, PostgreSQL","Calendar, Scheduling, Productivity","JavaScript, Date Handling, CRUD Operations, Authentication, APIs"
PROJ_036,Kanban Board,Software Engineering,Beginner,https://github.com/rcdexta/react-trello,A visual task board that organizes work into stages using cards and drag-and-drop interactions.,"React, JavaScript","Kanban, Tasks, Agile","React, State Management, CRUD Operations, Drag and Drop"
PROJ_037,Note-Taking App,Software Engineering,Beginner,https://github.com/Faisa1ST32/note-taking-app,"A digital note-taking system for creating, editing, searching, and organizing personal notes.","React, Node.js, MongoDB","Notes, Productivity, CRUD","JavaScript, CRUD Operations, Authentication, Database Design"
PROJ_038,Food Delivery App,Mobile Development,Advanced,https://github.com/shakyShane/foodordering-mernstack,"A food ordering application connecting customers with restaurants for menus, orders, payments, and delivery.","React Native, Node.js, MongoDB","Food, Delivery, Mobile","Authentication, REST APIs, Database Design, Payment Integration, Location Services"
PROJ_039,Recipe Sharing Platform,Software Engineering,Intermediate,https://github.com/machadop1407/recipe-site,"A community platform where users publish, discover, and share recipes with other users.","React, Node.js, MongoDB","Recipes, Food, Community","React, CRUD Operations, Authentication, Database Design, Image Handling"
PROJ_040,Restaurant Menu Management,Database Management,Beginner,https://github.com/ipenywis/restaurant-webapp,"A management system for restaurants to create, update, organize, and publish menu items.","React, Node.js, MongoDB","Restaurant, Menu, Management","CRUD Operations, Database Design, Authentication, REST APIs"
PROJ_041,Meal Planner App,Mobile Development,Intermediate,https://github.com/chingu-voyages/v25-geckos-team-85,"A planning application that helps users organize meals, recipes, and weekly food schedules.","React Native, Node.js, MongoDB","Meal Planning, Food, Productivity","CRUD Operations, Authentication, Database Design, State Management"
PROJ_042,Banking Application,Database Management,Advanced,https://github.com/TannerGabriel/Banking-Application,"A banking system for managing accounts, transactions, balances, and customer financial operations.","Java, Spring Boot, MySQL","Banking, Finance, Transactions","Database Design, Authentication, Transaction Management, REST APIs, Security"
PROJ_043,Expense Tracker,Database Management,Beginner,https://github.com/machadop1487/Expense-Tracker-Fullstack,"A personal finance application that records expenses, categorizes spending, and visualizes financial activity.","React, Node.js, MongoDB","Finance, Expenses, Analytics","CRUD Operations, Database Design, Authentication, Data Visualization"
PROJ_044,Cryptocurrency Dashboard,AI/ML,Intermediate,https://github.com/adrianhajdin/project_cryptoverse,"A dashboard that retrieves cryptocurrency market data and presents prices, trends, and portfolio information.","React, JavaScript","Crypto, Finance, Dashboard","JavaScript, REST APIs, Data Visualization, State Management"
PROJ_045,Invoice Management System,Database Management,Intermediate,https://github.com/invoiceninja/invoiceninja,"A business system for creating, managing, tracking, and organizing customer invoices.","Node.js, Express.js, MongoDB","Invoices, Finance, Business","Database Design, CRUD Operations, Authentication, PDF Generation"
PROJ_046,Budget Planning App,Database Management,Beginner,,"A budgeting application that helps users plan income, expenses, savings, and financial goals.","React, Node.js, MongoDB","Budget, Finance, Planning","CRUD Operations, Database Design, Data Visualization, Authentication"
PROJ_047,Stock Market Portfolio Tracker,AI/ML,Intermediate,,"A portfolio application that tracks stock holdings, market prices, performance, and investment trends.","Python, Pandas, NumPy, React","Stocks, Finance, Portfolio","Python, Data Analysis, APIs, Data Visualization"
PROJ_048,Hospital Management System,Database Management,Advanced,https://github.com/shubhammehra4/Hospital-Management-System,"A hospital administration platform for managing patients, doctors, appointments, records, and hospital operations.","Java, Spring Boot, MySQL","Healthcare, Hospital, Database","Database Design, CRUD Operations, Authentication, Role-Based Access"
PROJ_049,Doctor Appointment System,Database Management,Intermediate,https://github.com/CodAffection/Hospital-Management-System,"A system for patients to discover doctors, schedule appointments, and manage healthcare bookings.","Java, Spring Boot, MySQL","Healthcare, Appointments, Doctors","Database Design, Authentication, CRUD Operations, Scheduling"
PROJ_050,Fitness Tracker,Mobile Development,Intermediate,https://github.com/machadop1487/Fitness-Tracker-App,"A fitness application that tracks activities, progress, goals, and personal health metrics.","React Native, Firebase","Fitness, Health, Mobile","Mobile Development, APIs, Data Visualization, Authentication, Database Design"
PROJ_051,Telemedicine Platform,Software Engineering,Advanced,,A healthcare platform enabling patients and doctors to communicate remotely and manage virtual consultations.,"React, Node.js, MongoDB, WebRTC","Healthcare, Telemedicine, Video","Authentication, Video Communication, Database Design, REST APIs, Security"
PROJ_052,Pharmacy Management System,Database Management,Intermediate,https://github.com/shuvooa787/pharmacy-management-system,"A pharmacy system for managing medicines, inventory, customers, prescriptions, and sales transactions.","Java, MySQL","Pharmacy, Healthcare, Inventory","Database Design, CRUD Operations, Authentication, Inventory Management"
PROJ_053,Uber Clone,Mobile Development,Advanced,https://github.com/CleverProgrsmmers/uber-clone,A ride-booking application connecting passengers with drivers through location services and real-time trip management.,"React Native, Node.js, MongoDB, Maps API","Ride Sharing, Maps, Transportation","Mobile Development, Authentication, Maps, Real-Time Communication, REST APIs"
PROJ_054,Car Rental System,Software Engineering,Intermediate,https://github.com/zeeshanhanif/car-rental-system,"A vehicle rental platform for browsing cars, checking availability, making reservations, and managing rentals.","React, Node.js, MongoDB","Cars, Rental, Booking","Database Design, CRUD Operations, Authentication, Payment Integration"
PROJ_055,Travel Planner App,Mobile Development,Intermediate,https://github.com/adrianhajdin/project_travel_advisor,A travel planning application that helps users discover destinations and organize personalized travel itineraries.,"React Native, JavaScript, Maps API","Travel, Maps, Planning","APIs, Maps, Search, Mobile Development, State Management"
PROJ_056,Ride Sharing App,Mobile Development,Advanced,https://github.com/alex996/uber-clone,A ride-sharing platform for matching passengers and drivers and tracking trips in real time.,"React Native, Node.js, Socket.IO","Ride Sharing, Maps, Real-Time","Mobile Development, Maps, Real-Time Communication, Authentication, APIs"
PROJ_057,Real Estate Listing Platform,Software Engineering,Intermediate,https://github.com/safak/youtube/tree/real-estate-app,"A property marketplace where users can publish, search, filter, and manage real estate listings.","React, Node.js, MongoDB","Real Estate, Listings, Search","Database Design, Search, Authentication, CRUD Operations, REST APIs"
PROJ_058,Property Management System,Database Management,Intermediate,https://github.com/property-management-system/pms,"A system for managing properties, tenants, maintenance activities, payments, and property records.","Node.js, Express.js, MySQL","Property, Management, Database","Database Design, CRUD Operations, Authentication, Reporting"
PROJ_059,House Rental Platform,Software Engineering,Intermediate,https://github.com/machadop1407/real-estate-app,A rental marketplace connecting property owners and tenants through property discovery and booking workflows.,"React, Node.js, MongoDB","Rental, Property, Marketplace","Search, Authentication, Database Design, Payment Integration"
PROJ_060,Gaming Platform,Game Development,Intermediate,https://github.com/iptv-org/iptv,"A digital gaming platform for discovering, organizing, and interacting with browser-based games.","JavaScript, React","Games, Gaming, Platform","Game Development, JavaScript, APIs, State Management"
PROJ_061,Quiz Game Multiplayer,Game Development,Intermediate,,A multiplayer quiz game where participants compete in real time through shared questions and scoring.,"JavaScript, Node.js, Socket.IO","Game, Quiz, Multiplayer","Game Development, JavaScript, WebSockets, State Management"
PROJ_062,Chess Game Online,Game Development,Advanced,https://github.com/lichess-org/lila,"An online chess platform implementing game rules, player sessions, moves, and multiplayer gameplay.","JavaScript, Node.js, WebSockets","Chess, Multiplayer, Algorithms","Game Development, Algorithms, State Management, Real-Time Communication"
PROJ_063,Tic-Tac-Toe Multiplayer,Game Development,Beginner,https://github.com/coding-garden/tic-tec-toe-multiplayer,A multiplayer Tic-Tac-Toe game supporting real-time matches and synchronized game state.,"JavaScript, Node.js, Socket.IO","Game, Multiplayer, Beginner","Game Development, JavaScript, WebSockets, Algorithms"
PROJ_064,Email Client,Software Engineering,Advanced,https://github.com/CleverProgrammers/gmail-clone,"An email application supporting message composition, inbox management, search, and user authentication.","React, Node.js, MongoDB","Email, Communication, Productivity","JavaScript, Authentication, APIs, Database Design, State Management"
PROJ_065,Newsletter Platform,Software Engineering,Intermediate,https://github.com/TryGhost/Ghost,"A publishing platform for creating, managing, and distributing newsletters to subscribers.","Node.js, React, MongoDB","Newsletter, Publishing, Email","CRUD Operations, Authentication, APIs, Database Design"
PROJ_066,SMS Marketing Platform,Software Engineering,Advanced,https://github.com/plivo/plivo-examples-node,"A messaging platform for managing SMS campaigns, recipients, and automated communications.","Node.js, Express.js, MongoDB","SMS, Marketing, APIs","APIs, REST APIs, Authentication, Database Design"
PROJ_067,Inventory Management System,Database Management,Intermediate,https://github.com/saadpasta/inventory-management-system,"A business application for tracking products, stock levels, suppliers, and inventory transactions.","Node.js, Express.js, MySQL","Inventory, Database, Business","Database Design, CRUD Operations, Authentication, Reporting"
PROJ_068,CRM Application,Database Management,Advanced,https://github.com/cortezeproject/corteza-server,"A customer relationship management system for organizing contacts, sales activities, and business interactions.","Node.js, React, PostgreSQL","CRM, Enterprise, Customers","Database Design, CRUD Operations, Authentication, REST APIs"
PROJ_069,Warehouse Management,Database Management,Advanced,,"A warehouse system for tracking stock, storage locations, shipments, and inventory operations.","Java, Spring Boot, MySQL","Warehouse, Inventory, Logistics","Database Design, Inventory Management, CRUD Operations, Reporting"
PROJ_070,Point of Sale System,Database Management,Intermediate,https://github.com/loystar/POS-System,"A retail sales system for processing transactions, managing products, and generating sales records.","Java, MySQL","POS, Retail, Sales","Database Design, CRUD Operations, Transaction Management, Reporting"
PROJ_071,Progressive Web App Store,Mobile Development,Intermediate,https://github.com/GoogleChromeLabs/pwa-starter-kit,A responsive shopping application designed to provide app-like functionality through progressive web technologies.,"JavaScript, React, PWA","PWA, Mobile, E-Commerce","Mobile Development, JavaScript, APIs, Responsive Design"
PROJ_072,Weather Application,Mobile Development,Beginner,https://github.com/adrianhajdin/project_weather_app,A weather application that retrieves current conditions and forecasts from external weather services.,"React, JavaScript, Weather API","Weather, APIs, Mobile","APIs, JavaScript, Data Handling, Responsive Design"
PROJ_073,News Aggregator,Software Engineering,Intermediate,https://github.com/machadop1407/News-App-Full-Stack,A news application that collects and organizes articles from multiple sources into a searchable interface.,"React, Node.js, APIs","News, APIs, Aggregation","APIs, REST APIs, Search, Data Handling, React"
PROJ_074,Job Board Platform,Software Engineering,Intermediate,https://github.com/safak/youtube/tree/job-board,A job marketplace where employers publish vacancies and candidates search and apply for opportunities.,"React, Node.js, MongoDB","Jobs, Recruitment, Career","React, Authentication, Search, Database Design, REST APIs"
PROJ_075,Portfolio Builder,Software Engineering,Beginner,https://github.com/cobidev/gatsby-simplefolio,A customizable platform that helps developers create and publish professional portfolios.,"HTML, CSS, JavaScript","Portfolio, Frontend, Career","HTML, CSS, JavaScript, Responsive Design, UI Development"
PROJ_076,Photo Sharing Platform,Software Engineering,Advanced,https://github.com/safak/youtube/tree/instagram-clone,"A social photo-sharing application where users upload images, manage profiles, and interact with posts.","React, Node.js, MongoDB","Photos, Social, Images","React, Authentication, Image Handling, Database Design, REST APIs"
PROJ_077,Design Collaboration Tool,Software Engineering,Advanced,https://github.com/tldraw/tldraw,A collaborative design environment where multiple users can create and edit visual content together.,"TypeScript, React, WebSockets","Figma, Design, Collaboration","JavaScript, Canvas, Real-Time Communication, State Management"
PROJ_078,Meme Generator,Programming,Beginner,https://github.com/R313nt13ss/Meme_Api,"A web application for creating customized memes using images, text, and templates.","JavaScript, HTML, CSS","Meme, Images, Creative","JavaScript, APIs, Image Processing, UI Development"
PROJ_079,Admin Dashboard,Software Engineering,Intermediate,https://github.com/flatlogic/sing-app-react,"A configurable administrative dashboard for monitoring application data, metrics, users, and operational activities.","React, JavaScript","Dashboard, Admin, Analytics","React, Data Visualization, State Management, REST APIs"
PROJ_080,Analytics Platform,AI/ML,Advanced,https://github.com/keen/keen-js,"A platform for collecting, processing, and visualizing application or business analytics data.","JavaScript, React","Analytics, Data, Visualization","Data Analysis, Data Visualization, APIs, SQL"
PROJ_081,Data Visualization Dashboard,AI/ML,Intermediate,https://github.com/apache/superset,"An interactive dashboard that transforms datasets into charts, reports, and analytical insights.","Python, Apache Superset, PostgreSQL","Visualization, Analytics, BI","Data Analysis, Data Visualization, SQL, Statistics"
PROJ_082,Business Intelligence Tool,AI/ML,Advanced,https://github.com/metabase/metabase,A business intelligence platform for querying data and creating analytical dashboards and reports.,"Java, PostgreSQL, React","BI, SQL, Analytics","Data Analysis, SQL, Data Visualization, Database Design"
PROJ_083,Authentication System,Software Engineering,Intermediate,https://github.com/sahat/hackathon-starter,"A reusable authentication system implementing secure login, registration, sessions, and OAuth-based access.","Node.js, Express.js, MongoDB","Authentication, OAuth, Security","Authentication, OAuth, Security, REST APIs, Session Management"
PROJ_084,Password Manager,Software Engineering,Advanced,https://github.com/bitwarden/server,A secure application for storing and managing credentials using encryption and authentication.,"C#, .NET, SQLite","Passwords, Security, Encryption","Cryptography, Authentication, Security, Database Design"
PROJ_085,Two-Factor Authentication System,Software Engineering,Intermediate,https://github.com/google/google-authenticator,A security system that adds a second verification factor to user authentication workflows.,"JavaScript, Node.js","2FA, Security, Authentication","Authentication, Cryptography, Security, APIs"
PROJ_086,Chatbot Platform,AI/ML,Intermediate,https://github.com/botpress/botpress,A conversational platform that allows users to interact with automated assistants through natural language.,"Python, Node.js, React","Chatbot, NLP, AI","Python, Natural Language Processing, Machine Learning, Conversational AI"
PROJ_087,Image Recognition App,AI/ML,Intermediate,https://github.com/tensorflow/tfjs-examples,An image recognition application that identifies objects or categories from uploaded images using machine learning.,"Python, TensorFlow, OpenCV","Computer Vision, Classification, AI","Python, Computer Vision, Deep Learning, Image Classification"
PROJ_088,Recommendation System,AI/ML,Advanced,https://github.com/NicolasHug/Surprise,A recommendation engine that predicts relevant items for users based on preferences and historical behavior.,"Python, Scikit-learn, Pandas","Recommendation, Machine Learning, Personalization","Python, Machine Learning, Recommendation Systems, Data Analysis"
PROJ_089,Sentiment Analysis Tool,AI/ML,Intermediate,https://github.com/vivekn/sentiment,"A natural language processing system that classifies text according to positive, negative, or neutral sentiment.","Python, Scikit-learn, NLTK","NLP, Sentiment, Text","Python, Natural Language Processing, Machine Learning, Text Classification"
PROJ_090,Domain-Specific RAG Chatbot,AI/ML,Advanced,https://github.com/langchain-ai/langchain,A retrieval-augmented chatbot that answers questions using knowledge from a specialized document collection.,"Python, LangChain, ChromaDB, FastAPI","RAG, LLM, Chatbot, Vector Database","Python, Natural Language Processing, Embeddings, RAG, Vector Databases"
PROJ_091,Intelligent Code Documentation Generator,AI/ML,Advanced,https://github.com/topics/code-documentation,An AI system that analyzes source code and automatically generates readable technical documentation.,"Python, Hugging Face, LangChain","Code, Documentation, LLM","Python, Natural Language Processing, LLM, Code Analysis, Prompt Engineering"
PROJ_092,PDF Question Answering System,AI/ML,Advanced,https://github.com/topics/pdf-ga,A document question-answering system that retrieves relevant PDF information and generates contextual answers.,"Python, LangChain, Hugging Face, FAISS, FastAPI","RAG, PDF, LLM, QA","Python, Natural Language Processing, Embeddings, RAG, Vector Databases"
PROJ_093,Enterprise Knowledge Base Chatbot,AI/ML,Advanced,https://github.com/hwchase17/chroma-langchain,A conversational knowledge system that retrieves enterprise information and provides context-aware answers.,"Python, LangChain, ChromaDB","Enterprise, RAG, Knowledge Base","Python, Natural Language Processing, RAG, Embeddings, Vector Databases"
PROJ_094,Legal Contract Analyzer,AI/ML,Advanced,https://github.com/topics/contract-analysis,"An AI system that analyzes contracts and extracts important clauses, risks, and obligations.","Python, Hugging Face, LangChain","Legal AI, NLP, Contracts","Python, Natural Language Processing, Text Classification, Information Extraction, LLM"
PROJ_095,Academic Paper Summarizer,AI/ML,Intermediate,https://github.com/topics/paper-summarization,An AI tool that summarizes research papers and extracts their key findings and concepts.,"Python, Hugging Face, Transformers","Research, NLP, Summarization","Python, Natural Language Processing, Text Summarization, LLM"
PROJ_096,Multi-Document Retrieval System,AI/ML,Advanced,https://github.com/topics/information-retrieval,A retrieval system that searches across multiple documents and returns relevant information for user queries.,"Python, FAISS, LangChain","Retrieval, Search, RAG","Python, Natural Language Processing, Embeddings, Information Retrieval, Vector Databases"
PROJ_097,Custom LLM Fine-Tuning Platform,AI/ML,Advanced,https://github.com/huggingface/peft,A platform for adapting language models to specialized datasets and domain-specific tasks.,"Python, PyTorch, Hugging Face, PEFT","LLM, Fine-Tuning, NLP","Python, Deep Learning, LLM, Model Fine-Tuning, Natural Language Processing"
PROJ_098,Prompt Engineering Toolkit,AI/ML,Intermediate,https://github.com/topics/prompt-engineering,"A toolkit for designing, testing, comparing, and evaluating prompts for language-model applications.","Python, LangChain","LLM, Prompts, Evaluation","Python, LLM, Prompt Engineering, Evaluation"
PROJ_099,AI Code Assistant,AI/ML,Advanced,https://github.com/getcursor/cursor,An AI coding assistant that provides contextual suggestions and explanations based on source code.,"Python, Hugging Face, FastAPI","Code Assistant, LLM, Developer Tools","Python, Natural Language Processing, LLM, Code Analysis, APIs"
PROJ_100,Conversational SQL Query Generator,AI/ML,Advanced,https://github.com/topics/text-to-sql,A natural-language interface that converts user questions into SQL queries for database analysis.,"Python, LangChain, PostgreSQL","Text-to-SQL, LLM, SQL","Python, Natural Language Processing, SQL, LLM, Database Design"
PROJ_101,Multi-Language Document Translator,AI/ML,Advanced,https://github.com/topics/machine-translation,An automated translation system that converts documents between multiple languages while preserving meaning.,"Python, Hugging Face, Transformers","Translation, NLP, Multilingual","Python, Natural Language Processing, Machine Translation, Text Processing"
PROJ_102,Autonomous Code Review Agent,AI/ML,Advanced,https://github.com/topics/code-review-automation,"An AI agent that reviews source code, identifies potential issues, and provides development recommendations.","Python, LangChain, GitHub APIs","AI Agent, Code Review, Automation","Python, LLM, Code Analysis, Software Testing, Git"
PROJ_103,Multi-Agent Task Automation System,AI/ML,Advanced,https://github.com/microsoft/autogen,A multi-agent platform where specialized AI agents collaborate to execute complex tasks.,"Python, AutoGen, LangChain","Agents, Automation, LLM","Python, LLM, Multi-Agent Systems, APIs, Workflow Automation"
PROJ_104,AI Sales Assistant Agent,AI/ML,Advanced,https://github.com/langchain-ai/langgraph,"An AI sales assistant that helps automate lead analysis, communication, and sales workflow tasks.","Python, LangGraph, LangChain","Sales, AI Agent, Automation","Python, LLM, Natural Language Processing, Workflow Automation, APIs"
PROJ_105,Customer Support Agent with Memory,AI/ML,Advanced,https://github.com/run-llama/llama,An AI support assistant that maintains conversational context and uses knowledge bases to answer customer queries.,"Python, LlamaIndex, Vector Database","Customer Support, Memory, RAG","Python, Natural Language Processing, LLM, RAG, Conversational AI"
PROJ_106,Research Assistant Agent,AI/ML,Advanced,https://github.com/assafelovic/gpt-researcher,"An AI research assistant that searches information, synthesizes sources, and produces structured research outputs.","Python, LangChain, FastAPI","Research, Agent, LLM","Python, LLM, Information Retrieval, Web APIs, Natural Language Processing"
