dependency_id,source_skill_id,source_skill_name,target_skill_id,target_skill_name,relationship,reason,difficulty,domain
DEP_014,SK_00270,Mathematics,SK_00264,Machine Learning,strong_prerequisite,"Linear algebra, calculus, and probability are fundamental to understanding ML algorithms.",Intermediate,AI/ML
DEP_015,SK_00010,Algorithms,SK_00264,Machine Learning,recommended_prerequisite,General algorithmic thinking helps in understanding optimization and model training logic.,Intermediate,AI/ML
DEP_016,SK_00264,Machine Learning,SK_00132,Deep Learning,strong_prerequisite,Core ML concepts like loss functions and gradient descent are essential for neural networks.,Advanced,AI/ML
DEP_017,SK_00264,Machine Learning,SK_00398,Scikit-learn,prerequisite,Scikit-Learn is the primary Python library for implementing traditional machine learning models.,Intermediate,AI/ML
DEP_018,SK_00132,Deep Learning,SK_00361,PyTorch,prerequisite,PyTorch is a framework specifically designed to build and train deep neural networks.,Advanced,AI/ML
DEP_019,SK_00132,Deep Learning,SK_00457,TensorFlow,prerequisite,TensorFlow requires an understanding of neural network architectures and tensor operations.,Advanced,AI/ML
DEP_020,SK_00132,Deep Learning,SK_00302,Natural Language Processing,recommended_prerequisite,Modern NLP relies heavily on deep learning architectures like RNNs and Transformers.,Advanced,AI/ML
DEP_021,SK_00132,Deep Learning,SK_00092,Computer Vision,strong_prerequisite,"Deep learning, specifically CNNs, forms the backbone of modern computer vision tasks.",Advanced,AI/ML
DEP_022,SK_00302,Natural Language Processing,SK_00260,LLMs,strong_prerequisite,LLMs are advanced applications of NLP principles like tokenization and semantic understanding.,Advanced,Generative AI
DEP_023,SK_00302,Natural Language Processing,SK_00214,Hugging Face Transformers,prerequisite,Hugging Face provides the tools to implement advanced NLP transformer models.,Advanced,AI/ML
DEP_024,SK_00214,Hugging Face Transformers,SK_00260,LLMs,recommended_prerequisite,Familiarity with transformer models is critical for training and fine-tuning LLMs.,Advanced,Generative AI
DEP_025,SK_00260,LLMs,SK_00354,Prompt Engineering,prerequisite,Understanding how LLMs generate text is necessary to effectively design prompts.,Intermediate,Generative AI
DEP_026,SK_00260,LLMs,SK_00188,Generative AI,strong_prerequisite,LLMs are a foundational technology within the broader Generative AI ecosystem.,Advanced,Generative AI
DEP_027,SK_00482,Vector Databases,SK_00188,Generative AI,recommended_prerequisite,Vector databases are used for RAG (Retrieval-Augmented Generation) in Generative AI apps.,Advanced,Generative AI
DEP_028,SK_00092,Computer Vision,SK_00323,OpenCV,prerequisite,OpenCV is the standard library used to implement computer vision algorithms.,Intermediate,AI/ML
DEP_029,SK_00092,Computer Vision,SK_00222,Image Processing,strong_prerequisite,Image processing techniques are the foundational steps for computer vision pipelines.,Intermediate,AI/ML
DEP_030,SK_00222,Image Processing,SK_00319,Object Detection,prerequisite,Processing images is required before models can detect and classify objects within them.,Advanced,AI/ML
DEP_031,SK_00222,Image Processing,SK_00223,Image Segmentation,prerequisite,Image segmentation relies on advanced pixel-level image processing and classification.,Advanced,AI/ML
DEP_032,SK_00435,SQL,SK_00113,Data Analysis,strong_prerequisite,SQL is essential for querying and extracting the data needed for analysis.,Beginner,Analytics
DEP_033,SK_00435,SQL,SK_00024,Apache Spark,recommended_prerequisite,Spark SQL relies on traditional SQL syntax for distributed data processing.,Intermediate,Data Engineering
DEP_034,SK_00024,Apache Spark,SK_00203,Hadoop,recommended_prerequisite,Spark is often deployed on top of Hadoop's distributed file system (HDFS).,Advanced,Data Engineering
DEP_035,SK_00257,Linux,SK_00189,Git,recommended_prerequisite,Git is heavily used via the Linux command line in professional environments.,Beginner,DevOps
DEP_036,SK_00257,Linux,SK_00145,Docker,strong_prerequisite,Docker containers are fundamentally based on Linux kernel features like cgroups.,Intermediate,DevOps
DEP_037,SK_00145,Docker,SK_00252,Kubernetes,strong_prerequisite,Kubernetes is an orchestration system designed specifically to manage Docker containers.,Advanced,DevOps
DEP_038,SK_00145,Docker,SK_00078,CI/CD,recommended_prerequisite,"Docker ensures consistent environments, which is critical for reliable CI/CD pipelines.",Intermediate,DevOps
DEP_039,SK_00189,Git,SK_00078,CI/CD,strong_prerequisite,CI/CD pipelines are triggered by code changes tracked and merged in Git.,Intermediate,DevOps
DEP_040,SK_00082,Cloud Computing,SK_00046,Amazon Web Services,prerequisite,General cloud concepts must be understood before learning specific AWS services.,Intermediate,Cloud
DEP_041,SK_00082,Cloud Computing,SK_00280,Microsoft Azure,prerequisite,Foundational cloud knowledge applies directly to Azure infrastructure and services.,Intermediate,Cloud
DEP_042,SK_00082,Cloud Computing,SK_00187,GCP,prerequisite,General cloud networking and storage concepts are required to navigate GCP.,Intermediate,Cloud
DEP_043,SK_00046,Amazon Web Services,SK_00252,Kubernetes,recommended_prerequisite,Managed Kubernetes (EKS) requires an understanding of underlying AWS networking.,Advanced,DevOps
DEP_044,SK_00306,Network Troubleshooting,SK_00305,Network Security,strong_prerequisite,Understanding how networks fail and operate is required to secure them effectively.,Intermediate,Cybersecurity
DEP_045,SK_00305,Network Security,SK_00337,Penetration Testing,strong_prerequisite,Network security knowledge is required to identify and exploit network vulnerabilities.,Advanced,Cybersecurity
DEP_046,SK_00305,Network Security,SK_00166,Ethical Hacking,strong_prerequisite,Ethical hacking relies on deep knowledge of network protocols and security flaws.,Advanced,Cybersecurity
DEP_047,SK_00105,Cryptography,SK_00340,PKI,strong_prerequisite,Public Key Infrastructure is entirely built upon cryptographic algorithms and keys.,Advanced,Vulnerability Analysis
DEP_048,SK_00105,Cryptography,SK_00405,Security Protocols,strong_prerequisite,Protocols like TLS/SSL require a solid understanding of cryptographic principles.,Advanced,Vulnerability Analysis
DEP_049,SK_00337,Penetration Testing,SK_00495,Vulnerability Analysis,prerequisite,Penetration testing methodologies are used to systematically analyze vulnerabilities.,Advanced,Cybersecurity
DEP_050,SK_00337,Penetration Testing,SK_00030,Application Security,recommended_prerequisite,Testing applications for exploits provides context for securing them during development.,Advanced,Cybersecurity
DEP_051,SK_00070,C,SK_00156,Embedded C,strong_prerequisite,"Embedded C is an extension of standard C, optimized for hardware constraints.",Intermediate,Embedded Systems
DEP_052,SK_00156,Embedded C,SK_00277,Microcontrollers,strong_prerequisite,Microcontrollers are primarily programmed and configured using Embedded C.,Intermediate,Embedded Systems
DEP_053,SK_00277,Microcontrollers,SK_00035,ARM Architecture,prerequisite,ARM is the dominant architecture used in modern microcontrollers and embedded systems.,Advanced,Embedded Systems
DEP_054,SK_00035,ARM Architecture,SK_00036,ARM Cortex,prerequisite,ARM Cortex processors are specific implementations of the broader ARM architecture.,Advanced,Embedded Systems
DEP_055,SK_00277,Microcontrollers,SK_00394,RTOS,strong_prerequisite,Real-Time Operating Systems are deployed on microcontrollers to manage hardware tasks.,Advanced,Embedded Systems
DEP_056,SK_00277,Microcontrollers,SK_00178,Firmware Development,strong_prerequisite,Firmware is the low-level software written directly for microcontrollers.,Advanced,Embedded Systems
DEP_057,SK_00140,Digital Electronics,SK_00483,Verilog,strong_prerequisite,Verilog is used to model the digital electronic circuits and logic gates.,Intermediate,VLSI
DEP_058,SK_00140,Digital Electronics,SK_00484,VHDL,strong_prerequisite,VHDL is a hardware description language based entirely on digital electronic concepts.,Intermediate,VLSI
DEP_059,SK_00483,Verilog,SK_00452,SystemVerilog,prerequisite,"SystemVerilog is a superset of Verilog, adding advanced verification features.",Advanced,VLSI
DEP_060,SK_00140,Digital Electronics,SK_00181,FPGA,strong_prerequisite,FPGAs are arrays of programmable digital logic blocks that require digital design knowledge.,Intermediate,VLSI
DEP_061,SK_00181,FPGA,SK_00393,RTL Design,strong_prerequisite,Register-Transfer Level design is the abstraction used to program FPGAs.,Advanced,VLSI
DEP_062,SK_00079,Circuit Design,SK_00334,PCB Design,strong_prerequisite,A logical circuit design must be completed before laying out the physical PCB.,Intermediate,VLSI
DEP_063,SK_00334,PCB Design,SK_00011,Altium,prerequisite,Altium Designer is a professional software tool used specifically for PCB design.,Intermediate,VLSI
DEP_064,SK_00105,Cryptography,SK_00066,Blockchain,strong_prerequisite,Blockchain ledgers rely heavily on cryptographic hashes and public-key cryptography.,Intermediate,Blockchain
DEP_065,SK_00066,Blockchain,SK_00064,Bitcoin,prerequisite,Bitcoin is the original and most prominent implementation of blockchain technology.,Intermediate,Blockchain
DEP_066,SK_00066,Blockchain,SK_00429,Solidity,strong_prerequisite,Solidity is used to write smart contracts that execute on blockchain networks.,Intermediate,Blockchain
DEP_067,SK_00429,Solidity,SK_00501,Web3.js,prerequisite,Web3.js is used to interact with the smart contracts written in Solidity.,Intermediate,Blockchain
DEP_068,SK_00429,Solidity,SK_00165,Ethers.js,prerequisite,Ethers.js is a library used to interface with Ethereum and Solidity smart contracts.,Intermediate,Blockchain
DEP_069,SK_00066,Blockchain,SK_00216,Hyperledger,recommended_prerequisite,Hyperledger provides enterprise blockchain frameworks requiring core blockchain knowledge.,Advanced,Blockchain
DEP_070,SK_00480,User Research,SK_00506,Wireframing,recommended_prerequisite,User research provides the insights needed to sketch effective wireframes.,Beginner,UI/UX
DEP_071,SK_00506,Wireframing,SK_00356,Prototyping,prerequisite,Wireframes serve as the structural blueprint before building interactive prototypes.,Intermediate,UI/UX
DEP_072,SK_00356,Prototyping,SK_00176,Figma,prerequisite,Figma is the industry-standard software tool used to create UI prototypes.,Intermediate,UI/UX
DEP_073,SK_00356,Prototyping,SK_00007,Adobe XD,prerequisite,Adobe XD is a vector-based tool used specifically for designing and prototyping user experiences.,Intermediate,UI/UX
DEP_074,SK_00002,3D Modeling,SK_00065,Blender,prerequisite,Blender is a software suite used to execute 3D modeling and animation tasks.,Intermediate,Game Design
DEP_075,SK_00002,3D Modeling,SK_00475,Unity,recommended_prerequisite,3D models are essential assets imported into Unity for game development.,Intermediate,AR/VR
DEP_076,SK_00002,3D Modeling,SK_00478,Unreal Engine,recommended_prerequisite,High-quality 3D models are required to build environments in Unreal Engine.,Intermediate,AR/VR
DEP_077,SK_00073,C++,SK_00478,Unreal Engine,strong_prerequisite,Unreal Engine relies on C++ for advanced game logic and performance optimization.,Advanced,AR/VR
DEP_078,SK_00360,Python,SK_00144,Django,strong_prerequisite,Python is the underlying language used to build applications with the Django framework.,Intermediate,Backend Development
DEP_079,SK_00360,Python,SK_00174,FastAPI,strong_prerequisite,FastAPI is a modern Python web framework requiring strong knowledge of Python type hints.,Intermediate,Backend Development
DEP_080,SK_00435,SQL,SK_00436,SQLAlchemy,recommended_prerequisite,Understanding raw SQL helps developers use the SQLAlchemy ORM more effectively.,Intermediate,Backend Development
DEP_081,SK_00239,Java,SK_00434,Spring Boot,strong_prerequisite,Spring Boot is a Java-based framework requiring a solid understanding of Java enterprise concepts.,Intermediate,Backend Development
DEP_082,SK_00239,Java,SK_00271,Maven,recommended_prerequisite,Java applications typically rely on Maven for dependency management and build automation.,Beginner,Backend Development
DEP_083,SK_00434,Spring Boot,SK_00279,Microservices,recommended_prerequisite,Spring Boot provides the tools necessary to develop and deploy independent microservices.,Advanced,Architecture
DEP_084,SK_00240,JavaScript,SK_00314,Node.js,strong_prerequisite,Node.js is a runtime environment that executes JavaScript code outside a web browser.,Intermediate,Backend Development
DEP_085,SK_00314,Node.js,SK_00173,Express.js,strong_prerequisite,Express.js is a minimal and flexible Node.js web application framework.,Intermediate,Backend Development
DEP_086,SK_00173,Express.js,SK_00382,REST APIs,prerequisite,Express.js is commonly used to design and route RESTful APIs.,Intermediate,Backend Development
DEP_087,SK_00213,HTML/CSS,SK_00396,Sass,prerequisite,Sass is a preprocessor scripting language that is compiled into standard CSS.,Beginner,Frontend Development
DEP_088,SK_00213,HTML/CSS,SK_00454,Tailwind CSS,prerequisite,Tailwind CSS is a utility-first framework that requires foundational CSS knowledge to customize.,Intermediate,Frontend Development
DEP_089,SK_00369,React,SK_00310,Next.js,strong_prerequisite,Next.js is a React framework that extends React with server-side rendering and routing.,Intermediate,Frontend Development
DEP_090,SK_00369,React,SK_00375,Redux,recommended_prerequisite,Redux is a predictable state container frequently used alongside React for state management.,Intermediate,Frontend Development
DEP_091,SK_00492,Vue.js,SK_00493,Vuex,recommended_prerequisite,Vuex is the state management pattern and library tailored specifically for Vue.js applications.,Intermediate,Frontend Development
DEP_092,SK_00492,Vue.js,SK_00317,Nuxt.js,strong_prerequisite,Nuxt.js is a high-level framework built on top of Vue.js for server-side rendering.,Intermediate,Frontend Development
DEP_093,SK_00240,JavaScript,SK_00149,DOM Manipulation,strong_prerequisite,JavaScript is required to interact with and dynamically update the Document Object Model.,Beginner,Frontend Development
DEP_094,SK_00443,Statistics,SK_00217,Hypothesis Testing,strong_prerequisite,Hypothesis testing is a core statistical method used to infer results from sample data.,Intermediate,Data Science
DEP_095,SK_00443,Statistics,SK_00003,A/B Testing,strong_prerequisite,A/B testing relies entirely on statistical significance and hypothesis testing principles.,Intermediate,Data Science
DEP_096,SK_00331,Pandas,SK_00175,Feature Engineering,strong_prerequisite,Pandas is the primary tool used to manipulate datasets and create new features for models.,Intermediate,Data Science
DEP_097,SK_00121,Data Visualization,SK_00453,Tableau,prerequisite,General data visualization concepts are required to build effective dashboards in Tableau.,Beginner,Analytics
DEP_098,SK_00121,Data Visualization,SK_00345,Power BI,prerequisite,Understanding how to represent data visually is essential before using Power BI tools.,Beginner,Analytics
DEP_099,SK_00360,Python,SK_00399,SciPy,prerequisite,SciPy is a scientific computation library built on top of the Python programming language.,Intermediate,Data Science
DEP_100,SK_00264,Machine Learning,SK_00511,XGBoost,prerequisite,XGBoost is an advanced gradient boosting algorithm requiring core machine learning knowledge.,Advanced,AI/ML
DEP_101,SK_00264,Machine Learning,SK_00366,Random Forests,prerequisite,Random Forests are ensemble learning methods based on foundational decision tree concepts.,Intermediate,AI/ML
DEP_102,SK_00457,TensorFlow,SK_00248,Keras,recommended_prerequisite,Keras acts as a high-level neural networks API running on top of TensorFlow.,Intermediate,AI/ML
DEP_103,SK_00260,LLMs,SK_00254,LangChain,strong_prerequisite,LangChain is a framework designed specifically to develop applications powered by language models.,Advanced,Generative AI
DEP_104,SK_00260,LLMs,SK_00258,LlamaIndex,strong_prerequisite,LlamaIndex provides data frameworks specifically for connecting custom data sources to LLMs.,Advanced,Generative AI
DEP_105,SK_00132,Deep Learning,SK_00186,GANs,strong_prerequisite,Generative Adversarial Networks require deep understanding of neural network architectures and loss optimization.,Advanced,Generative AI
DEP_106,SK_00302,Natural Language Processing,SK_00508,Word Embeddings,strong_prerequisite,Word embeddings are foundational NLP techniques used to represent text as numerical vectors.,Intermediate,AI/ML
DEP_107,SK_00435,SQL,SK_00117,Data Modeling,recommended_prerequisite,Understanding how data is queried helps engineers design better relational data models.,Intermediate,Data Engineering
DEP_108,SK_00167,ETL,SK_00022,Apache Airflow,strong_prerequisite,Apache Airflow is a platform used to programmatically author and schedule ETL workflows.,Advanced,Data Engineering
DEP_109,SK_00122,Data Warehousing,SK_00421,Snowflake,strong_prerequisite,Snowflake is a cloud data warehouse requiring knowledge of data warehousing architecture.,Intermediate,Data Engineering
DEP_110,SK_00122,Data Warehousing,SK_00063,BigQuery,strong_prerequisite,BigQuery is a serverless data warehouse requiring foundational data storage and querying concepts.,Intermediate,Data Engineering
DEP_111,SK_00122,Data Warehousing,SK_00015,Amazon Redshift,strong_prerequisite,Amazon Redshift requires an understanding of columnar storage and data warehouse optimization.,Intermediate,Data Engineering
DEP_112,SK_00024,Apache Spark,SK_00128,Databricks,strong_prerequisite,Databricks is a unified analytics platform built heavily around Apache Spark clusters.,Intermediate,Data Engineering
DEP_113,SK_00360,Python,SK_00358,PySpark,strong_prerequisite,"PySpark is the Python API for Apache Spark, requiring strong Python programming skills.",Intermediate,Data Engineering
DEP_114,SK_00046,Amazon Web Services,SK_00048,AWS EC2,prerequisite,Understanding the AWS ecosystem is required before provisioning EC2 virtual servers.,Beginner,Cloud
DEP_115,SK_00046,Amazon Web Services,SK_00051,AWS S3,prerequisite,AWS S3 is the foundational object storage service within the Amazon Web Services ecosystem.,Beginner,Cloud
DEP_116,SK_00046,Amazon Web Services,SK_00050,AWS Lambda,recommended_prerequisite,AWS Lambda is a serverless compute service requiring general AWS architecture knowledge.,Intermediate,Cloud
DEP_117,SK_00046,Amazon Web Services,SK_00049,AWS IAM,strong_prerequisite,Identity and Access Management is critical for securing all other AWS cloud services.,Intermediate,Cloud
DEP_118,SK_00046,Amazon Web Services,SK_00014,Amazon RDS,prerequisite,Relational Database Service requires understanding of AWS networking and storage concepts.,Intermediate,Cloud
DEP_119,SK_00280,Microsoft Azure,SK_00058,Azure Virtual Machines,prerequisite,Foundational Azure knowledge is needed to deploy and manage Azure VMs.,Beginner,Cloud
DEP_120,SK_00280,Microsoft Azure,SK_00054,Azure Blob Storage,prerequisite,Blob Storage is Azure's object storage solution requiring basic cloud concepts.,Beginner,Cloud
DEP_121,SK_00280,Microsoft Azure,SK_00057,Azure Functions,recommended_prerequisite,Azure Functions provide serverless compute capabilities within the Azure cloud environment.,Intermediate,Cloud
DEP_122,SK_00280,Microsoft Azure,SK_00053,Azure Active Directory,strong_prerequisite,Azure AD is the foundational identity and access management service for Azure.,Intermediate,Cloud
DEP_123,SK_00187,GCP,SK_00195,Google Compute Engine,prerequisite,Google Compute Engine is the primary IaaS offering within the Google Cloud Platform.,Beginner,Cloud
DEP_124,SK_00187,GCP,SK_00194,Google Cloud Storage,prerequisite,GCS is the unified object storage service for developers and enterprises on GCP.,Beginner,Cloud
DEP_125,SK_00187,GCP,SK_00196,Google Kubernetes Engine,strong_prerequisite,GKE requires understanding of both GCP infrastructure and Kubernetes orchestration.,Advanced,Cloud
DEP_126,SK_00257,Linux,SK_00061,Bash Scripting,strong_prerequisite,Bash scripting requires a fundamental understanding of Linux commands and file systems.,Intermediate,DevOps
DEP_127,SK_00061,Bash Scripting,SK_00045,Automation,recommended_prerequisite,Bash scripts are commonly used as the first step in automating system administration tasks.,Intermediate,DevOps
DEP_128,SK_00189,Git,SK_00190,GitHub Actions,strong_prerequisite,GitHub Actions automate workflows directly based on Git repository events and triggers.,Intermediate,DevOps
DEP_129,SK_00078,CI/CD,SK_00241,Jenkins,prerequisite,Jenkins is an open-source automation server used to implement CI/CD pipelines.,Intermediate,DevOps
DEP_130,SK_00078,CI/CD,SK_00191,GitLab CI,prerequisite,GitLab CI is a continuous integration tool built directly into GitLab repositories.,Intermediate,DevOps
DEP_131,SK_00082,Cloud Computing,SK_00458,Terraform,strong_prerequisite,"Terraform provisions cloud infrastructure, requiring knowledge of how cloud resources operate.",Intermediate,DevOps
DEP_132,SK_00458,Terraform,SK_00229,Infrastructure as Code,strong_prerequisite,Terraform is the leading tool used to implement Infrastructure as Code methodologies.,Advanced,DevOps
DEP_133,SK_00252,Kubernetes,SK_00209,Helm,recommended_prerequisite,"Helm acts as a package manager for Kubernetes, requiring K8s architecture knowledge.",Intermediate,DevOps
DEP_134,SK_00252,Kubernetes,SK_00352,Prometheus,recommended_prerequisite,Prometheus is widely used for monitoring Kubernetes clusters and requires K8s networking knowledge.,Advanced,DevOps
DEP_135,SK_00352,Prometheus,SK_00199,Grafana,recommended_prerequisite,Grafana is commonly used to visualize the time-series metrics collected by Prometheus.,Intermediate,DevOps
DEP_136,SK_00257,Linux,SK_00247,Kali Linux,strong_prerequisite,Kali Linux is a Debian-derived Linux distribution designed for digital forensics and penetration testing.,Intermediate,Cybersecurity
DEP_137,SK_00306,Network Troubleshooting,SK_00507,Wireshark,strong_prerequisite,Wireshark is a network protocol analyzer that requires understanding of network traffic and packets.,Intermediate,Cybersecurity
DEP_138,SK_00166,Ethical Hacking,SK_00068,Burp Suite,strong_prerequisite,Burp Suite is a graphical tool for testing Web application security used by ethical hackers.,Intermediate,Cybersecurity
DEP_139,SK_00305,Network Security,SK_00177,Firewalls,prerequisite,Firewalls are foundational network security devices that monitor and filter network traffic.,Beginner,Cybersecurity
DEP_140,SK_00337,Penetration Testing,SK_00276,Metasploit,strong_prerequisite,Metasploit is a penetration testing framework that requires understanding of exploit methodologies.,Advanced,Cybersecurity
DEP_141,SK_00305,Network Security,SK_00232,Intrusion Detection Systems,strong_prerequisite,IDS monitors network traffic for malicious activity and requires strong network security knowledge.,Advanced,Cybersecurity
DEP_142,SK_00030,Application Security,SK_00330,OWASP Top 10,strong_prerequisite,The OWASP Top 10 is the standard awareness document for developers regarding application security.,Intermediate,Cybersecurity
DEP_143,SK_00448,Swift,SK_00234,IOS Development,strong_prerequisite,Swift is the primary programming language used to develop applications for Apple's iOS platform.,Intermediate,Mobile Development
DEP_144,SK_00249,Kotlin,SK_00017,Android Development,strong_prerequisite,"Kotlin is the modern, preferred programming language for building Android mobile applications.",Intermediate,Mobile Development
DEP_145,SK_00239,Java,SK_00017,Android Development,recommended_prerequisite,Java is a legacy but still widely used language for Android mobile application development.,Intermediate,Mobile Development
DEP_146,SK_00240,JavaScript,SK_00370,React Native,strong_prerequisite,React Native allows developers to build mobile apps using JavaScript and React concepts.,Intermediate,Mobile Development
DEP_147,SK_00111,Dart,SK_00180,Flutter,strong_prerequisite,Dart is the programming language required to build cross-platform applications using the Flutter framework.,Intermediate,Mobile Development
DEP_148,SK_00234,IOS Development,SK_00099,Core Data,recommended_prerequisite,Core Data is the framework used to manage the model layer objects in iOS applications.,Advanced,Mobile Development
DEP_149,SK_00017,Android Development,SK_00390,Room Database,recommended_prerequisite,Room provides an abstraction layer over SQLite to allow fluent database access in Android.,Intermediate,Mobile Development
DEP_150,SK_00320,Object-Oriented Programming,SK_00136,Design Patterns,strong_prerequisite,Design patterns provide reusable solutions to common problems in object-oriented software design.,Intermediate,Software Engineering
DEP_151,SK_00136,Design Patterns,SK_00450,System Design,recommended_prerequisite,Understanding small-scale design patterns helps architects design large-scale distributed systems.,Advanced,Architecture
DEP_152,SK_00450,System Design,SK_00279,Microservices,strong_prerequisite,Microservices architecture requires a deep understanding of distributed system design and trade-offs.,Advanced,Architecture
DEP_153,SK_00424,Software Architecture,SK_00150,Domain-Driven Design,recommended_prerequisite,DDD is an architectural approach that centers the software design on the business domain.,Advanced,Architecture
DEP_154,SK_00424,Software Architecture,SK_00169,Event-Driven Architecture,recommended_prerequisite,Event-driven architecture is a software design pattern where decoupled applications asynchronously publish and subscribe to events.,Advanced,Architecture
DEP_155,SK_00382,REST APIs,SK_00026,API Gateway,recommended_prerequisite,"An API Gateway manages, routes, and secures traffic to backend RESTful APIs.",Intermediate,Architecture
DEP_156,SK_00426,Software Testing,SK_00044,Automated Testing,strong_prerequisite,Foundational testing concepts must be understood before writing scripts to automate them.,Intermediate,Testing
DEP_157,SK_00044,Automated Testing,SK_00407,Selenium,prerequisite,Selenium is a widely used framework for automating web browser testing.,Intermediate,Testing
DEP_158,SK_00044,Automated Testing,SK_00110,Cypress,prerequisite,Cypress is a modern frontend testing tool built for the modern web.,Intermediate,Testing
DEP_159,SK_00239,Java,SK_00245,JUnit,strong_prerequisite,JUnit is a unit testing framework for the Java programming language.,Intermediate,Testing
DEP_160,SK_00360,Python,SK_00359,PyTest,strong_prerequisite,PyTest is a testing framework based on Python requiring knowledge of Python syntax.,Intermediate,Testing
DEP_161,SK_00044,Automated Testing,SK_00029,Appium,recommended_prerequisite,"Appium is an open-source test automation framework for use with native, hybrid, and mobile web apps.",Advanced,Testing
DEP_162,SK_00435,SQL,SK_00343,PostgreSQL,prerequisite,PostgreSQL is an advanced relational database that uses and extends the SQL language.,Intermediate,Database
DEP_163,SK_00435,SQL,SK_00300,MySQL,prerequisite,MySQL is a widely used open-source relational database management system based on SQL.,Intermediate,Database
DEP_164,SK_00435,SQL,SK_00326,Oracle Database,prerequisite,Oracle Database is an enterprise multi-model database management system relying on SQL.,Advanced,Database
DEP_165,SK_00315,NoSQL,SK_00292,MongoDB,strong_prerequisite,MongoDB is a document-oriented database classified as a NoSQL database program.,Intermediate,Database
DEP_166,SK_00315,NoSQL,SK_00374,Redis,recommended_prerequisite,Redis is an in-memory data structure store that operates outside traditional relational NoSQL paradigms.,Intermediate,Database
DEP_167,SK_00315,NoSQL,SK_00077,Cassandra,strong_prerequisite,"Apache Cassandra is a highly scalable, distributed NoSQL database designed to handle large amounts of data.",Advanced,Database
DEP_168,SK_00315,NoSQL,SK_00154,DynamoDB,strong_prerequisite,Amazon DynamoDB is a fully managed proprietary NoSQL database service provided by AWS.,Intermediate,Database
DEP_169,SK_00156,Embedded C,SK_00032,Arduino,recommended_prerequisite,Arduino microcontrollers are primarily programmed using a variant of C/C++.,Beginner,Embedded Systems
DEP_170,SK_00257,Linux,SK_00367,Raspberry Pi,recommended_prerequisite,Raspberry Pi devices typically run Linux-based operating systems like Raspberry Pi OS.,Beginner,IoT
DEP_171,SK_00257,Linux,SK_00157,Embedded Linux,strong_prerequisite,Embedded Linux involves customizing the Linux kernel and user space for embedded devices.,Advanced,Embedded Systems
DEP_172,SK_00308,Networking Protocols,SK_00295,MQTT,strong_prerequisite,MQTT is a lightweight messaging protocol designed specifically for IoT and networking devices.,Intermediate,IoT
DEP_173,SK_00277,Microcontrollers,SK_00408,Sensor Integration,strong_prerequisite,Integrating sensors requires knowledge of how microcontrollers handle analog and digital inputs.,Intermediate,IoT
DEP_174,SK_00105,Cryptography,SK_00208,Hashing Algorithms,strong_prerequisite,Hashing is a fundamental cryptographic concept used for data integrity and password storage.,Intermediate,Cybersecurity
DEP_175,SK_00429,Solidity,SK_00419,Smart Contract Security,strong_prerequisite,Writing secure smart contracts requires deep knowledge of Solidity vulnerabilities and exploits.,Advanced,Blockchain
DEP_176,SK_00066,Blockchain,SK_00094,Consensus Mechanisms,strong_prerequisite,Consensus mechanisms like Proof of Work and Proof of Stake are core to blockchain operation.,Advanced,Blockchain
DEP_177,SK_00066,Blockchain,SK_00133,DeFi,recommended_prerequisite,Decentralized Finance applications are built entirely on top of blockchain networks and smart contracts.,Advanced,Blockchain
