career_skill_id,career_id,skill_id,importance,in_demand,hot_technology,description
CS_0021,CAR_076,SK_00078,High,Yes,No,Continuous integration and continuous deployment practices for automated software delivery.
CS_0022,CAR_076,SK_00189,High,Yes,No,Version control system used for tracking code changes and collaborating on software.
CS_0023,CAR_076,SK_00046,High,Yes,No,Amazon Web Services cloud computing platform for deploying scalable applications.
CS_0024,CAR_076,SK_00282,Critical,Yes,Yes,"Practices for deploying, monitoring, and maintaining machine learning models in production."
CS_0025,CAR_040,SK_00360,Critical,Yes,Yes,"General-purpose programming language widely used for AI, machine learning, and backend development."
CS_0026,CAR_040,SK_00435,Critical,Yes,No,"Query language used to store, retrieve, and analyze structured data in databases."
CS_0027,CAR_040,SK_00331,Critical,Yes,No,Data manipulation and analysis library for Python providing high-performance data structures.
CS_0028,CAR_040,SK_00316,High,Yes,No,Fundamental package for scientific computing with Python supporting large arrays and matrices.
CS_0029,CAR_040,SK_00264,High,Yes,Yes,Methods for building systems that learn patterns from data and make predictions.
CS_0030,CAR_040,SK_00443,Critical,Yes,No,"Mathematical science pertaining to the collection, analysis, interpretation, and presentation of data."
CS_0031,CAR_040,SK_00121,High,Yes,No,Graphical representation of information and data to highlight patterns and trends.
CS_0032,CAR_040,SK_00398,High,Yes,No,"Machine learning library for Python featuring classification, regression, and clustering algorithms."
CS_0033,CAR_040,SK_00189,Medium,Yes,No,Version control system used for tracking code changes and collaborating on software.
CS_0034,CAR_040,SK_00024,Medium,Yes,No,Unified analytics engine for large-scale data processing and distributed computing.
CS_0035,CAR_040,SK_00363,Medium,No,No,Programming language and free software environment for statistical computing and graphics.
CS_0036,CAR_040,SK_00052,Medium,Yes,No,Microsoft's public cloud computing platform providing a broad range of cloud services.
CS_0037,CAR_036,SK_00435,Critical,Yes,No,"Query language used to store, retrieve, and analyze structured data in databases."
CS_0038,CAR_036,SK_00360,Critical,Yes,Yes,"General-purpose programming language widely used for AI, machine learning, and backend development."
CS_0039,CAR_036,SK_00167,Critical,Yes,No,"Extract, Transform, Load processes for migrating and preparing data for analysis."
CS_0040,CAR_036,SK_00122,Critical,Yes,No,Central repositories of integrated data from one or more disparate sources.
CS_0041,CAR_036,SK_00024,High,Yes,No,Unified analytics engine for large-scale data processing and distributed computing.
CS_0042,CAR_036,SK_00343,High,Yes,No,"Advanced, enterprise-class open-source relational database system."
CS_0043,CAR_036,SK_00046,High,Yes,No,Amazon Web Services cloud computing platform for deploying scalable applications.
CS_0044,CAR_036,SK_00117,High,Yes,No,Process of creating a conceptual representation of data structures and their relationships.
CS_0045,CAR_036,SK_00145,Medium,Yes,No,Containerization technology used to package applications and dependencies for consistent deployment.
CS_0046,CAR_036,SK_00078,Medium,Yes,No,Continuous integration and continuous deployment practices for automated software delivery.
CS_0047,CAR_036,SK_00189,High,Yes,No,Version control system used for tracking code changes and collaborating on software.
CS_0048,CAR_036,SK_00421,High,Yes,Yes,Cloud-based data warehousing platform designed for massive scale and performance.
CS_0049,CAR_106,SK_00360,High,Yes,Yes,"General-purpose programming language widely used for AI, machine learning, and backend development."
CS_0050,CAR_106,SK_00239,High,Yes,No,"High-level, class-based, object-oriented programming language widely used for enterprise applications."
CS_0051,CAR_106,SK_00240,High,Yes,No,"Core programming language of the Web, used for interactive and dynamic content."
CS_0052,CAR_106,SK_00073,Medium,No,No,General-purpose programming language known for performance and system-level control.
CS_0053,CAR_106,SK_00189,Critical,Yes,No,Version control system used for tracking code changes and collaborating on software.
CS_0054,CAR_106,SK_00435,High,Yes,No,"Query language used to store, retrieve, and analyze structured data in databases."
CS_0055,CAR_106,SK_00382,Critical,Yes,No,Architectural style for designing networked applications and integrating software services.
CS_0056,CAR_106,SK_00145,High,Yes,No,Containerization technology used to package applications and dependencies for consistent deployment.
CS_0057,CAR_106,SK_00078,High,Yes,No,Continuous integration and continuous deployment practices for automated software delivery.
CS_0058,CAR_106,SK_00257,High,Yes,No,"Open-source operating system widely used for servers, cloud infrastructure, and development."
CS_0059,CAR_106,SK_00046,High,Yes,No,Amazon Web Services cloud computing platform for deploying scalable applications.
CS_0060,CAR_106,SK_00424,Critical,Yes,No,High-level structure of a software system and the discipline of creating such structures.
CS_0061,CAR_013,SK_00314,High,Yes,No,JavaScript runtime built on Chrome's V8 engine for executing code server-side.
CS_0062,CAR_013,SK_00360,High,Yes,Yes,"General-purpose programming language widely used for AI, machine learning, and backend development."
CS_0063,CAR_013,SK_00239,High,Yes,No,"High-level, class-based, object-oriented programming language widely used for enterprise applications."
CS_0064,CAR_013,SK_00435,Critical,Yes,No,"Query language used to store, retrieve, and analyze structured data in databases."
CS_0065,CAR_013,SK_00343,High,Yes,No,"Advanced, enterprise-class open-source relational database system."
CS_0066,CAR_013,SK_00292,High,Yes,No,NoSQL document database designed for scalability and flexible data schemas.
CS_0067,CAR_013,SK_00382,Critical,Yes,No,Architectural style for designing networked applications and integrating software services.
CS_0068,CAR_013,SK_00202,Medium,Yes,Yes,Query language for APIs providing a complete and understandable description of data.
CS_0069,CAR_013,SK_00145,High,Yes,No,Containerization technology used to package applications and dependencies for consistent deployment.
CS_0070,CAR_013,SK_00189,Critical,Yes,No,Version control system used for tracking code changes and collaborating on software.
CS_0071,CAR_013,SK_00374,Medium,Yes,No,"In-memory data structure store used as a database, cache, and message broker."
CS_0072,CAR_013,SK_00046,High,Yes,No,Amazon Web Services cloud computing platform for deploying scalable applications.
CS_0073,CAR_054,SK_00213,Critical,Yes,No,Fundamental technologies for structuring and styling content on the World Wide Web.
CS_0074,CAR_054,SK_00240,Critical,Yes,No,"Core programming language of the Web, used for interactive and dynamic content."
CS_0075,CAR_054,SK_00472,High,Yes,Yes,Strongly typed programming language that builds on JavaScript for larger scale applications.
CS_0076,CAR_054,SK_00369,Critical,Yes,Yes,JavaScript library for building user interfaces based on UI components.
CS_0077,CAR_054,SK_00019,Medium,No,No,Platform and framework for building single-page client applications using HTML and TypeScript.
CS_0078,CAR_054,SK_00492,Medium,Yes,No,Progressive JavaScript framework for building user interfaces and single-page applications.
CS_0079,CAR_054,SK_00382,High,Yes,No,Architectural style for designing networked applications and integrating software services.
CS_0080,CAR_054,SK_00189,Critical,Yes,No,Version control system used for tracking code changes and collaborating on software.
CS_0081,CAR_054,SK_00381,Critical,Yes,No,Approach to web design that makes web pages render well on a variety of devices.
CS_0082,CAR_054,SK_00499,High,Yes,No,Techniques to improve the speed and efficiency of web applications.
CS_0083,CAR_054,SK_00176,Medium,Yes,No,Collaborative web application for interface design and prototyping.
CS_0084,CAR_055,SK_00240,Critical,Yes,No,"Core programming language of the Web, used for interactive and dynamic content."
CS_0085,CAR_055,SK_00213,Critical,Yes,No,Fundamental technologies for structuring and styling content on the World Wide Web.
CS_0086,CAR_055,SK_00369,High,Yes,Yes,JavaScript library for building user interfaces based on UI components.
CS_0087,CAR_055,SK_00314,High,Yes,No,JavaScript runtime built on Chrome's V8 engine for executing code server-side.
CS_0088,CAR_055,SK_00360,High,Yes,Yes,"General-purpose programming language widely used for AI, machine learning, and backend development."
CS_0089,CAR_055,SK_00435,Critical,Yes,No,"Query language used to store, retrieve, and analyze structured data in databases."
CS_0090,CAR_055,SK_00382,Critical,Yes,No,Architectural style for designing networked applications and integrating software services.
CS_0091,CAR_055,SK_00189,Critical,Yes,No,Version control system used for tracking code changes and collaborating on software.
CS_0092,CAR_055,SK_00145,High,Yes,No,Containerization technology used to package applications and dependencies for consistent deployment.
CS_0093,CAR_055,SK_00046,High,Yes,No,Amazon Web Services cloud computing platform for deploying scalable applications.
CS_0094,CAR_055,SK_00472,High,Yes,Yes,Strongly typed programming language that builds on JavaScript for larger scale applications.
CS_0095,CAR_055,SK_00292,Medium,Yes,No,NoSQL document database designed for scalability and flexible data schemas.
CS_0096,CAR_081,SK_00448,High,Yes,No,"Powerful and intuitive programming language for macOS, iOS, watchOS, and tvOS."
CS_0097,CAR_081,SK_00249,High,Yes,No,Modern programming language widely used for Android app development.
CS_0098,CAR_081,SK_00370,High,Yes,Yes,Framework for building native apps using React and JavaScript.
CS_0099,CAR_081,SK_00180,High,Yes,Yes,"Google's UI toolkit for building natively compiled applications for mobile, web, and desktop."
CS_0100,CAR_081,SK_00239,Medium,No,No,"High-level, class-based, object-oriented programming language widely used for enterprise applications."
CS_0101,CAR_081,SK_00382,Critical,Yes,No,Architectural style for designing networked applications and integrating software services.
CS_0102,CAR_081,SK_00189,Critical,Yes,No,Version control system used for tracking code changes and collaborating on software.
CS_0103,CAR_081,SK_00285,High,Yes,No,Principles and practices for designing intuitive and engaging mobile interfaces.
CS_0104,CAR_081,SK_00028,High,Yes,No,Process of publishing applications to the Apple App Store and Google Play Store.
CS_0105,CAR_081,SK_00437,Medium,Yes,No,"C-language library that implements a small, fast, self-contained SQL database engine."
CS_0106,CAR_024,SK_00046,Critical,Yes,No,Amazon Web Services cloud computing platform for deploying scalable applications.
CS_0107,CAR_024,SK_00052,High,Yes,No,Microsoft's public cloud computing platform providing a broad range of cloud services.
CS_0108,CAR_024,SK_00193,High,Yes,No,Suite of cloud computing services offered by Google.
CS_0109,CAR_024,SK_00257,Critical,Yes,No,"Open-source operating system widely used for servers, cloud infrastructure, and development."
CS_0110,CAR_024,SK_00145,Critical,Yes,No,Containerization technology used to package applications and dependencies for consistent deployment.
CS_0111,CAR_024,SK_00252,Critical,Yes,Yes,"Container orchestration platform for automating application deployment, scaling, and management."
CS_0112,CAR_024,SK_00458,High,Yes,Yes,"Infrastructure as code software tool for building, changing, and versioning infrastructure safely."
CS_0113,CAR_024,SK_00078,High,Yes,No,Continuous integration and continuous deployment practices for automated software delivery.
CS_0114,CAR_024,SK_00360,High,Yes,Yes,"General-purpose programming language widely used for AI, machine learning, and backend development."
CS_0115,CAR_024,SK_00061,High,Yes,No,Command language and Unix shell used for automating system administration tasks.
CS_0116,CAR_024,SK_00305,Medium,Yes,No,Practices and technologies designed to protect the usability and integrity of networks.
CS_0117,CAR_024,SK_00412,Medium,Yes,Yes,Cloud computing execution model where the provider dynamically manages server allocation.
CS_0118,CAR_045,SK_00145,Critical,Yes,No,Containerization technology used to package applications and dependencies for consistent deployment.
CS_0119,CAR_045,SK_00252,Critical,Yes,Yes,"Container orchestration platform for automating application deployment, scaling, and management."
CS_0120,CAR_045,SK_00078,Critical,Yes,No,Continuous integration and continuous deployment practices for automated software delivery.
CS_0121,CAR_045,SK_00046,High,Yes,No,Amazon Web Services cloud computing platform for deploying scalable applications.
CS_0122,CAR_045,SK_00458,High,Yes,Yes,"Infrastructure as code software tool for building, changing, and versioning infrastructure safely."
CS_0123,CAR_045,SK_00061,High,Yes,No,Command language and Unix shell used for automating system administration tasks.
CS_0124,CAR_045,SK_00360,Medium,Yes,Yes,"General-purpose programming language widely used for AI, machine learning, and backend development."
CS_0125,CAR_032,SK_00305,Critical,Yes,No,Practices and technologies designed to protect the usability and integrity of networks.
CS_0126,CAR_032,SK_00337,High,Yes,No,"Practice of testing a computer system, network or web application to find security vulnerabilities."
CS_0127,CAR_032,SK_00416,High,Yes,No,Security information and event management for real-time analysis of security alerts.
CS_0128,CAR_032,SK_00360,Medium,Yes,Yes,"General-purpose programming language widely used for AI, machine learning, and backend development."
CS_0129,CAR_032,SK_00166,High,Yes,No,Lawful and authorized bypassing of system security to identify potential data breaches.
CS_0130,CAR_032,SK_00257,High,Yes,No,"Open-source operating system widely used for servers, cloud infrastructure, and development."
CS_0131,CAR_119,SK_00176,Critical,Yes,Yes,Collaborative web application for interface design and prototyping.
CS_0132,CAR_119,SK_00007,High,Yes,No,Vector-based user experience design tool for web apps and mobile apps.
CS_0133,CAR_119,SK_00506,Critical,Yes,No,Creating structural blueprints for web pages or apps to establish layout and functionality.
CS_0134,CAR_119,SK_00356,Critical,Yes,No,Building interactive models of applications to test user flows and interactions.
CS_0135,CAR_119,SK_00213,Medium,Yes,No,Fundamental technologies for structuring and styling content on the World Wide Web.
CS_0136,CAR_089,SK_00008,Critical,Yes,No,Project management approaches focusing on iterative development and continuous feedback.
CS_0137,CAR_089,SK_00400,High,Yes,No,"Agile framework for developing, delivering, and sustaining complex products."
CS_0138,CAR_089,SK_00243,High,Yes,No,Proprietary issue tracking product developed by Atlassian for bug tracking and agile project management.
CS_0139,CAR_089,SK_00350,Critical,Yes,No,High-level plan describing what a business hopes to accomplish with its product.
CS_0140,CAR_089,SK_00113,High,Yes,No,"Process of inspecting, cleansing, transforming, and modeling data to discover useful information."
CS_0141,CAR_016,SK_00429,Critical,Yes,Yes,Object-oriented programming language for writing smart contracts on various blockchain platforms.
CS_0142,CAR_016,SK_00164,Critical,Yes,Yes,"Decentralized, open-source blockchain with smart contract functionality."
CS_0143,CAR_016,SK_00420,Critical,Yes,Yes,Self-executing contracts with the terms of the agreement directly written into lines of code.
CS_0144,CAR_016,SK_00240,High,Yes,No,"Core programming language of the Web, used for interactive and dynamic content."
CS_0145,CAR_016,SK_00073,Medium,No,No,General-purpose programming language known for performance and system-level control.
CS_0146,CAR_057,SK_00475,Critical,Yes,Yes,Cross-platform game engine developed by Unity Technologies.
CS_0147,CAR_057,SK_00071,Critical,Yes,No,"Modern, object-oriented, and type-safe programming language."
CS_0148,CAR_057,SK_00478,High,Yes,Yes,3D computer graphics game engine developed by Epic Games.
CS_0149,CAR_057,SK_00073,High,No,No,General-purpose programming language known for performance and system-level control.
CS_0150,CAR_057,SK_00002,Medium,Yes,No,Process of developing a mathematical representation of any surface of an object in three dimensions.
CS_0151,CAR_091,SK_00407,Critical,Yes,No,Portable framework for testing web applications.
CS_0152,CAR_091,SK_00044,Critical,Yes,No,Use of software separate from the software being tested to control the execution of tests.
CS_0153,CAR_091,SK_00267,High,Yes,No,Process of manually testing software for defects without using automated tools.
CS_0154,CAR_091,SK_00360,High,Yes,Yes,"General-purpose programming language widely used for AI, machine learning, and backend development."
CS_0155,CAR_091,SK_00239,Medium,Yes,No,"High-level, class-based, object-oriented programming language widely used for enterprise applications."
CS_0156,CAR_042,SK_00435,Critical,Yes,No,"Query language used to store, retrieve, and analyze structured data in databases."
CS_0157,CAR_042,SK_00327,High,Yes,No,Multi-model database management system produced and marketed by Oracle Corporation.
CS_0158,CAR_042,SK_00127,High,Yes,No,Process of maximizing a database's use of system resources to perform work as efficiently as possible.
CS_0159,CAR_042,SK_00343,High,Yes,No,"Advanced, enterprise-class open-source relational database system."
CS_0160,CAR_042,SK_00292,Medium,Yes,No,NoSQL document database designed for scalability and flexible data schemas.
CS_0161,CAR_108,SK_00257,Critical,Yes,No,"Open-source operating system widely used for servers, cloud infrastructure, and development."
CS_0162,CAR_108,SK_00505,High,Yes,No,Group of operating systems designed by Microsoft that supports enterprise-level management.
CS_0163,CAR_108,SK_00005,High,Yes,No,Directory service developed by Microsoft for Windows domain networks.
CS_0164,CAR_108,SK_00489,High,Yes,No,Cloud computing and virtualization technology company.
CS_0165,CAR_108,SK_00061,High,Yes,No,Command language and Unix shell used for automating system administration tasks.
CS_0166,CAR_104,SK_00252,Critical,Yes,Yes,"Container orchestration platform for automating application deployment, scaling, and management."
CS_0167,CAR_104,SK_00294,Critical,Yes,No,Practices and tools for observing system health and notifying teams of issues.
CS_0168,CAR_104,SK_00224,High,Yes,No,Process used by DevOps and IT Operations teams to respond to an unplanned event or service interruption.
CS_0169,CAR_104,SK_00360,High,Yes,Yes,"General-purpose programming language widely used for AI, machine learning, and backend development."
CS_0170,CAR_104,SK_00046,High,Yes,No,Amazon Web Services cloud computing platform for deploying scalable applications.
CS_0171,CAR_047,SK_00360,High,Yes,Yes,"General-purpose programming language widely used for AI, machine learning, and backend development."
CS_0172,CAR_047,SK_00073,Critical,No,No,General-purpose programming language known for performance and system-level control.
CS_0173,CAR_047,SK_00070,Critical,Yes,No,Procedural programming language essential for low-level system access and embedded firmware.
CS_0174,CAR_047,SK_00277,Critical,Yes,No,Compact integrated circuits designed to govern a specific operation in an embedded system.
CS_0175,CAR_047,SK_00394,High,Yes,No,Real-time operating system intended to serve real-time applications that process data as it comes in.
CS_0176,CAR_047,SK_00157,High,Yes,Yes,Usage of Linux operating system in embedded computer systems.
CS_0177,CAR_047,SK_00035,Critical,Yes,No,Family of RISC instruction set architectures for computer processors.
CS_0178,CAR_047,SK_00433,Critical,Yes,No,Standard serial communication protocols used for interfacing microcontrollers with peripherals.
CS_0179,CAR_047,SK_00189,High,Yes,No,Version control system used for tracking code changes and collaborating on software.
CS_0180,CAR_047,SK_00236,Medium,Yes,Yes,Communication protocols like MQTT and CoAP used for Internet of Things devices.
CS_0181,CAR_047,SK_00206,High,Yes,No,Process of identifying and resolving bugs in hardware using tools like oscilloscopes and logic analyzers.
CS_0182,CAR_120,SK_00483,Critical,Yes,No,Hardware description language used to model electronic systems.
CS_0183,CAR_120,SK_00452,Critical,Yes,Yes,Combined hardware description and hardware verification language.
CS_0184,CAR_120,SK_00484,High,No,No,Hardware description language used in electronic design automation to describe digital and mixed-signal systems.
CS_0185,CAR_120,SK_00037,Critical,Yes,No,Application-specific integrated circuit design for a particular use rather than general-purpose use.
CS_0186,CAR_120,SK_00181,High,Yes,Yes,Field-programmable gate arrays designed to be configured by a customer or a designer after manufacturing.
CS_0187,CAR_120,SK_00393,Critical,Yes,No,Register-transfer level design abstraction used in synchronous digital circuits.
CS_0188,CAR_120,SK_00339,High,Yes,No,Process of transforming a circuit description into the physical layout.
CS_0189,CAR_120,SK_00442,High,Yes,No,Method of computing the expected timing of a digital circuit without requiring simulation.
CS_0190,CAR_120,SK_00360,Medium,Yes,Yes,"General-purpose programming language widely used for AI, machine learning, and backend development."
CS_0191,CAR_120,SK_00455,Medium,Yes,No,Scripting language commonly used for rapid prototyping and scripted applications in EDA tools.
CS_0192,CAR_016,SK_00429,Critical,Yes,Yes,Object-oriented programming language for writing smart contracts on various blockchain platforms.
CS_0193,CAR_016,SK_00164,Critical,Yes,Yes,"Decentralized, open-source blockchain with smart contract functionality."
CS_0194,CAR_016,SK_00420,Critical,Yes,Yes,Self-executing contracts with the terms of the agreement directly written into lines of code.
CS_0195,CAR_016,SK_00240,High,Yes,No,"Core programming language of the Web, used for interactive and dynamic content."
CS_0196,CAR_016,SK_00472,High,Yes,Yes,Strongly typed programming language that builds on JavaScript for larger scale applications.
CS_0197,CAR_016,SK_00501,High,Yes,Yes,"Collection of libraries that allow you to interact with a local or remote ethereum node using HTTP, IPC or WebSocket."
CS_0198,CAR_016,SK_00105,High,Yes,No,Practice and study of techniques for secure communication in the presence of adversarial behavior.
CS_0199,CAR_016,SK_00395,Medium,Yes,Yes,"Multi-paradigm, general-purpose programming language designed for performance and safety, especially safe concurrency."
CS_0200,CAR_016,SK_00192,Medium,Yes,No,"Statically typed, compiled programming language designed at Google."
CS_0201,CAR_016,SK_00189,Critical,Yes,No,Version control system used for tracking code changes and collaborating on software.
CS_0202,CAR_016,SK_00205,High,Yes,No,Development environments and testing frameworks for building on Ethereum.
CS_0203,CAR_105,SK_00429,Critical,Yes,Yes,Object-oriented programming language for writing smart contracts on various blockchain platforms.
CS_0204,CAR_105,SK_00420,Critical,Yes,Yes,Self-executing contracts with the terms of the agreement directly written into lines of code.
CS_0205,CAR_105,SK_00164,Critical,Yes,Yes,"Decentralized, open-source blockchain with smart contract functionality."
CS_0206,CAR_105,SK_00105,High,Yes,No,Practice and study of techniques for secure communication in the presence of adversarial behavior.
CS_0207,CAR_105,SK_00419,Critical,Yes,Yes,Practices and auditing processes to identify vulnerabilities in blockchain smart contracts.
CS_0208,CAR_105,SK_00205,High,Yes,No,Development environments and testing frameworks for building on Ethereum.
CS_0209,CAR_105,SK_00501,Medium,Yes,Yes,"Collection of libraries that allow you to interact with a local or remote ethereum node using HTTP, IPC or WebSocket."
CS_0210,CAR_105,SK_00240,High,Yes,No,"Core programming language of the Web, used for interactive and dynamic content."
CS_0211,CAR_105,SK_00189,High,Yes,No,Version control system used for tracking code changes and collaborating on software.
CS_0212,CAR_105,SK_00134,Medium,Yes,Yes,Decentralized finance applications and protocols built on blockchain networks.
CS_0213,CAR_057,SK_00475,Critical,Yes,Yes,Cross-platform game engine developed by Unity Technologies.
CS_0214,CAR_057,SK_00071,Critical,Yes,No,"Modern, object-oriented, and type-safe programming language."
CS_0215,CAR_057,SK_00478,High,Yes,Yes,3D computer graphics game engine developed by Epic Games.
CS_0216,CAR_057,SK_00073,High,No,No,General-purpose programming language known for performance and system-level control.
CS_0217,CAR_057,SK_00002,Medium,Yes,No,Process of developing a mathematical representation of any surface of an object in three dimensions.
CS_0218,CAR_057,SK_00185,High,Yes,No,Implementation of physics simulations to create realistic movement and collisions in games.
CS_0219,CAR_057,SK_00091,High,Yes,No,"Generation of visual images using computers, essential for rendering game environments."
CS_0220,CAR_057,SK_00183,Medium,Yes,No,"Artificial intelligence techniques used to create responsive, adaptive or intelligent behaviors primarily in non-player characters."
CS_0221,CAR_057,SK_00189,High,Yes,No,Version control system used for tracking code changes and collaborating on software.
CS_0222,CAR_057,SK_00298,Medium,Yes,No,Techniques for synchronizing game state across multiple clients over a network.
CS_0223,CAR_119,SK_00176,Critical,Yes,Yes,Collaborative web application for interface design and prototyping.
CS_0224,CAR_119,SK_00007,High,Yes,No,Vector-based user experience design tool for web apps and mobile apps.
CS_0225,CAR_119,SK_00506,Critical,Yes,No,Creating structural blueprints for web pages or apps to establish layout and functionality.
CS_0226,CAR_119,SK_00356,Critical,Yes,No,Building interactive models of applications to test user flows and interactions.
CS_0227,CAR_119,SK_00480,High,Yes,No,Systematic study of target users and their requirements to add realistic contexts and insights to design processes.
CS_0228,CAR_119,SK_00479,High,Yes,No,Evaluating a product or service by testing it with representative users.
CS_0229,CAR_119,SK_00226,High,Yes,No,Structural design of shared information environments to support usability and findability.
CS_0230,CAR_119,SK_00230,Critical,Yes,No,Design of the interaction between users and products.
CS_0231,CAR_119,SK_00213,Medium,Yes,No,Fundamental technologies for structuring and styling content on the World Wide Web.
CS_0232,CAR_119,SK_00137,High,Yes,Yes,"Collection of reusable components, guided by clear standards, that can be assembled together to build any number of applications."
CS_0233,CAR_088,SK_00176,Critical,Yes,Yes,Collaborative web application for interface design and prototyping.
CS_0234,CAR_088,SK_00137,Critical,Yes,Yes,"Collection of reusable components, guided by clear standards, that can be assembled together to build any number of applications."
CS_0235,CAR_088,SK_00356,Critical,Yes,No,Building interactive models of applications to test user flows and interactions.
CS_0236,CAR_088,SK_00480,High,Yes,No,Systematic study of target users and their requirements to add realistic contexts and insights to design processes.
CS_0237,CAR_088,SK_00350,High,Yes,No,High-level plan describing what a business hopes to accomplish with its product.
CS_0238,CAR_088,SK_00479,High,Yes,No,Evaluating a product or service by testing it with representative users.
CS_0239,CAR_088,SK_00506,High,Yes,No,Creating structural blueprints for web pages or apps to establish layout and functionality.
CS_0240,CAR_088,SK_00226,Medium,Yes,No,Structural design of shared information environments to support usability and findability.
CS_0241,CAR_088,SK_00123,High,Yes,Yes,Using quantitative and qualitative data to inform and validate design decisions.
CS_0242,CAR_088,SK_00213,Medium,Yes,No,Fundamental technologies for structuring and styling content on the World Wide Web.
CS_0243,CAR_034,SK_00435,Critical,Yes,No,"Query language used to store, retrieve, and analyze structured data in databases."
CS_0244,CAR_034,SK_00170,Critical,Yes,No,Spreadsheet software developed by Microsoft for data analysis and visualization.
CS_0245,CAR_034,SK_00453,High,Yes,No,Interactive data visualization software focused on business intelligence.
CS_0246,CAR_034,SK_00345,High,Yes,Yes,Interactive data visualization software product developed by Microsoft with primary focus on business intelligence.
CS_0247,CAR_034,SK_00360,High,Yes,Yes,"General-purpose programming language widely used for AI, machine learning, and backend development."
CS_0248,CAR_034,SK_00331,High,Yes,No,Data manipulation and analysis library for Python providing high-performance data structures.
CS_0249,CAR_034,SK_00443,High,Yes,No,"Mathematical science pertaining to the collection, analysis, interpretation, and presentation of data."
CS_0250,CAR_034,SK_00121,Critical,Yes,No,Graphical representation of information and data to highlight patterns and trends.
CS_0251,CAR_034,SK_00114,Critical,Yes,No,"Process of preparing data for analysis by removing or modifying data that is incorrect, incomplete, irrelevant, duplicated, or improperly formatted."
CS_0252,CAR_034,SK_00363,Medium,No,No,Programming language and free software environment for statistical computing and graphics.
CS_0253,CAR_017,SK_00378,Critical,Yes,No,Process of determining user expectations for a new or modified product.
CS_0254,CAR_017,SK_00069,Critical,Yes,No,"Activity of representing processes of an enterprise, so that the current process may be analyzed or improved."
CS_0255,CAR_017,SK_00435,High,Yes,No,"Query language used to store, retrieve, and analyze structured data in databases."
CS_0256,CAR_017,SK_00170,Critical,Yes,No,Spreadsheet software developed by Microsoft for data analysis and visualization.
CS_0257,CAR_017,SK_00113,High,Yes,No,"Process of inspecting, cleansing, transforming, and modeling data to discover useful information."
CS_0258,CAR_017,SK_00453,Medium,Yes,No,Interactive data visualization software focused on business intelligence.
CS_0259,CAR_017,SK_00345,Medium,Yes,Yes,Interactive data visualization software product developed by Microsoft with primary focus on business intelligence.
CS_0260,CAR_017,SK_00008,High,Yes,No,Project management approaches focusing on iterative development and continuous feedback.
CS_0261,CAR_017,SK_00243,High,Yes,No,Proprietary issue tracking product developed by Atlassian for bug tracking and agile project management.
CS_0262,CAR_017,SK_00438,Critical,Yes,No,Process of maintaining good relationships with the people who have most impact on your work.
CS_0263,CAR_107,SK_00046,Critical,Yes,No,Amazon Web Services cloud computing platform for deploying scalable applications.
CS_0264,CAR_107,SK_00052,High,Yes,No,Microsoft's public cloud computing platform providing a broad range of cloud services.
CS_0265,CAR_107,SK_00424,Critical,Yes,No,High-level structure of a software system and the discipline of creating such structures.
CS_0266,CAR_107,SK_00450,Critical,Yes,Yes,"Process of defining the architecture, modules, interfaces, and data for a system to satisfy specified requirements."
