career_interest_id,career_id,interest_type,interest_score,interest_description
CI_070,CAR_016,Conventional,3.6,Requires structured auditing of immutable blockchain records.
CI_071,CAR_105,Investigative,4.8,Requires precise logical reasoning to prevent security exploits in code.
CI_072,CAR_105,Conventional,4.4,Involves rigorous testing and structured deployment of immutable contracts.
CI_073,CAR_105,Enterprising,3.7,Requires understanding business logic to translate into decentralized agreements.
CI_074,CAR_057,Artistic,4.8,Requires a strong sense of visual design and creative storytelling.
CI_075,CAR_057,Investigative,4.5,Involves solving complex physics and rendering algorithms.
CI_076,CAR_057,Realistic,3.6,Requires practical optimization of game engines for hardware performance.
CI_077,CAR_119,Artistic,4.9,Focuses heavily on visual aesthetics and creative interface design.
CI_078,CAR_119,Social,4.3,Requires empathy and communication to understand user needs and pain points.
CI_079,CAR_119,Investigative,3.8,Involves researching user behavior and analyzing usability testing data.
CI_080,CAR_088,Artistic,4.8,Requires creative vision to design holistic product experiences.
CI_081,CAR_088,Enterprising,4.2,Involves aligning product design with business goals and market trends.
CI_082,CAR_088,Social,4.0,Requires collaborating with engineering and marketing teams to deliver products.
CI_083,CAR_034,Conventional,4.8,Requires highly structured reporting and data visualization processes.
CI_084,CAR_034,Investigative,4.6,Involves statistical analysis and discovering hidden patterns in data.
CI_085,CAR_034,Enterprising,3.5,Requires presenting data insights to influence business strategy.
CI_086,CAR_017,Enterprising,4.7,Focuses on driving business strategy and optimizing organizational processes.
CI_087,CAR_017,Social,4.4,Requires strong communication to gather requirements from stakeholders.
CI_088,CAR_017,Conventional,4.2,Involves structured documentation of business requirements and workflows.
CI_089,CAR_107,Enterprising,4.8,Requires leading technology strategy and designing enterprise solutions.
CI_090,CAR_107,Investigative,4.6,Involves analyzing complex system requirements and architectural trade-offs.
CI_091,CAR_107,Social,4.1,Requires communicating technical vision to both engineering and executive teams.
CI_092,CAR_091,Conventional,4.8,Requires highly structured test planning and defect tracking.
CI_093,CAR_091,Investigative,4.2,Involves analyzing software behavior to identify edge cases and bugs.
CI_094,CAR_091,Realistic,3.5,Requires practical execution of manual and automated test scripts.
CI_095,CAR_011,Conventional,4.6,Focuses on maintaining structured and repeatable automated test suites.
CI_096,CAR_011,Investigative,4.5,Requires solving complex logic problems to build robust test frameworks.
CI_097,CAR_011,Realistic,4.0,Involves hands-on configuration of continuous integration testing environments.
CI_098,CAR_112,Realistic,4.7,Requires hands-on management of complex IT infrastructure and hardware.
CI_099,CAR_112,Investigative,4.4,Involves troubleshooting deep system-level performance and integration issues.
CI_100,CAR_112,Conventional,4.1,Requires structured lifecycle management and system documentation.
CI_101,CAR_089,Enterprising,4.9,Focuses on product strategy and leading cross-functional teams.
CI_102,CAR_089,Social,4.6,Requires strong empathy for users and communication with stakeholders.
CI_103,CAR_089,Investigative,3.9,Involves researching market trends and analyzing product metrics.
CI_104,CAR_114,Enterprising,4.8,Requires driving technology strategy and prioritizing technical debt.
CI_105,CAR_114,Investigative,4.5,Involves analyzing technical feasibility and system architecture.
CI_106,CAR_114,Social,4.2,Requires translating technical concepts for non-technical stakeholders.
CI_107,CAR_029,Investigative,4.9,Requires deep mathematical knowledge of image processing algorithms.
CI_108,CAR_029,Realistic,4.1,Involves practical deployment of vision models to edge devices or cameras.
CI_109,CAR_029,Artistic,3.5,Requires understanding visual spatial relationships and image composition.
CI_110,CAR_083,Investigative,4.9,Requires researching linguistic patterns and deep learning architectures.
CI_111,CAR_083,Social,3.8,Involves understanding human communication and semantic nuances.
CI_112,CAR_083,Conventional,3.6,Requires structured processing and tokenization of large text corpora.
CI_113,CAR_058,Investigative,4.8,Requires researching advanced neural network architectures like transformers.
CI_114,CAR_058,Artistic,4.4,Involves evaluating the creative quality of AI-generated content.
CI_115,CAR_058,Enterprising,3.5,Requires finding innovative business applications for generative technologies.
CI_116,CAR_075,Realistic,4.6,Focuses on the practical deployment and scaling of machine learning models.
CI_117,CAR_075,Conventional,4.5,Requires structured version control for datasets and model artifacts.
CI_118,CAR_075,Investigative,4.2,Involves diagnosing model drift and performance degradation in production.
CI_119,CAR_023,Enterprising,4.7,Requires leading cloud adoption strategies for enterprise organizations.
CI_120,CAR_023,Investigative,4.8,Involves analyzing complex workloads to design optimal cloud architectures.
CI_121,CAR_023,Realistic,4.0,Requires practical understanding of cloud networking and storage hardware.
CI_122,CAR_071,Enterprising,4.8,Focuses on leading security initiatives and managing risk strategies.
CI_123,CAR_071,Conventional,4.7,Requires structured management of compliance audits and security frameworks.
CI_124,CAR_071,Social,4.1,Involves training employees on security awareness and best practices.
CI_125,CAR_084,Conventional,4.8,Requires highly organized management of IP addresses and network policies.
CI_126,CAR_084,Realistic,4.5,Involves hands-on patching and configuration of network hardware.
CI_127,CAR_084,Social,3.5,Requires assisting users with network connectivity issues.
CI_128,CAR_109,Conventional,4.7,Focuses on structured user management and system backups.
CI_129,CAR_109,Realistic,4.6,Requires practical installation and maintenance of server hardware.
CI_130,CAR_109,Investigative,3.8,Involves diagnosing server crashes and operating system errors.
CI_131,CAR_068,Social,4.8,Requires strong empathy and communication skills to help end users.
CI_132,CAR_068,Realistic,4.2,Involves hands-on repair of laptops and desktop workstations.
CI_133,CAR_068,Conventional,4.0,Requires structured logging of support tickets and resolution steps.
CI_134,CAR_115,Social,4.7,Focuses on communicating complex technical solutions to customers.
CI_135,CAR_115,Investigative,4.4,Requires analyzing software logs to identify the root cause of customer issues.
CI_136,CAR_115,Realistic,3.9,Involves practical reproduction of customer environments for testing.
CI_137,CAR_009,Investigative,4.8,Requires analyzing source code to find security vulnerabilities.
CI_138,CAR_009,Realistic,4.3,Involves practical implementation of secure coding standards.
CI_139,CAR_009,Conventional,4.0,Requires structured security testing and vulnerability tracking.
CI_140,CAR_070,Investigative,4.9,Requires forensic analysis to determine the scope of security breaches.
CI_141,CAR_070,Realistic,4.5,Involves hands-on containment of compromised systems and malware.
CI_142,CAR_070,Social,3.8,Requires communicating crisis updates to management during cyber attacks.
CI_143,CAR_031,Investigative,5.0,Requires advanced mathematical research to develop encryption algorithms.
CI_144,CAR_031,Conventional,4.2,Involves structured mathematical proofs and rigorous security validation.
CI_145,CAR_031,Realistic,3.1,Requires practical implementation of cryptographic libraries.
CI_146,CAR_041,Conventional,4.8,Focuses on structured schema design for enterprise data storage.
CI_147,CAR_041,Investigative,4.4,Requires optimizing complex ETL transformations and data queries.
CI_148,CAR_041,Realistic,3.7,Involves practical management of data storage infrastructure.
CI_149,CAR_014,Investigative,4.7,Requires solving distributed computing and massive data processing challenges.
CI_150,CAR_014,Realistic,4.3,Involves hands-on configuration of Hadoop or Spark clusters.
CI_151,CAR_014,Conventional,4.1,Requires structured management of data lakes and processing jobs.
CI_152,CAR_018,Conventional,4.7,Requires structured design of dashboards and reporting metrics.
CI_153,CAR_018,Investigative,4.5,Involves analyzing data relationships to build accurate BI models.
CI_154,CAR_018,Enterprising,4.0,Requires aligning data visualizations with strategic business goals.
CI_155,CAR_094,Investigative,5.0,Requires advanced statistical modeling and financial mathematics.
CI_156,CAR_094,Conventional,4.4,Involves structured backtesting of algorithmic trading strategies.
CI_157,CAR_094,Enterprising,3.6,Requires understanding financial markets to generate trading profits.
CI_158,CAR_052,Realistic,4.8,Focuses on practical programming of hardware components.
CI_159,CAR_052,Investigative,4.6,Requires debugging hardware-software interactions using oscilloscopes.
CI_160,CAR_052,Conventional,3.9,Involves strict adherence to hardware specifications and memory limits.
CI_161,CAR_060,Realistic,4.9,Requires hands-on design and testing of physical circuit boards.
CI_162,CAR_060,Investigative,4.5,Involves analyzing electrical signals and thermal dynamics.
CI_163,CAR_060,Conventional,3.8,Requires structured documentation of schematics and bill of materials.
CI_164,CAR_050,Investigative,4.8,Requires complex logical reasoning for hardware description languages.
CI_165,CAR_050,Realistic,4.7,Involves hands-on testing of custom silicon configurations.
CI_166,CAR_050,Conventional,4.0,Requires highly structured timing analysis and verification.
CI_167,CAR_006,Artistic,4.7,Requires creative design of immersive 3D environments and interactions.
CI_168,CAR_006,Investigative,4.5,Involves solving complex spatial computing and tracking algorithms.
CI_169,CAR_006,Realistic,3.9,Requires practical optimization of graphics rendering for headsets.
CI_170,CAR_001,Artistic,4.8,Focuses on the visual quality of rendered materials and lighting.
CI_171,CAR_001,Investigative,4.6,Requires advanced mathematics for rendering equations and shaders.
CI_172,CAR_001,Realistic,3.7,Involves practical optimization of GPU memory and compute shaders.
CI_173,CAR_122,Enterprising,4.7,Requires leading the technical strategy for decentralized platforms.
CI_174,CAR_122,Investigative,4.8,Involves analyzing cryptographic security and decentralized consensus mechanisms.
CI_175,CAR_122,Social,3.9,Requires engaging with open-source communities and decentralized governance.
CI_176,CAR_044,Investigative,4.6,Requires solving unique state management challenges in decentralized networks.
CI_177,CAR_044,Artistic,3.8,Involves designing user interfaces for Web3 applications.
CI_178,CAR_044,Enterprising,4.0,Requires understanding token utility and decentralized business models.
CI_179,CAR_048,Enterprising,4.9,Requires leading technical teams and driving engineering strategy.
CI_180,CAR_048,Social,4.7,Involves mentoring engineers and conducting performance reviews.
CI_181,CAR_048,Investigative,4.0,Requires analyzing technical architecture to guide team decisions.
CI_182,CAR_087,Investigative,4.6,Requires analyzing system bottlenecks under heavy load.
CI_183,CAR_087,Realistic,4.2,Involves practical configuration of load testing tools and server environments.
CI_184,CAR_087,Conventional,3.8,Requires structured reporting of performance metrics and test results.
CI_185,CAR_102,Investigative,4.8,Requires finding hidden vulnerabilities in software applications.
CI_186,CAR_102,Realistic,4.3,Involves hands-on execution of security testing tools and scripts.
CI_187,CAR_102,Conventional,4.0,Requires strict adherence to security compliance checklists.
CI_188,CAR_082,Realistic,4.5,Focuses on hands-on testing across various physical mobile devices.
CI_189,CAR_082,Conventional,4.1,Requires structured execution of test cases for different screen sizes.
CI_190,CAR_082,Investigative,3.9,Involves diagnosing device-specific crashes and battery drain issues.
CI_191,CAR_092,Enterprising,4.7,Requires leading testing teams and defining quality assurance strategies.
CI_192,CAR_092,Social,4.4,Involves mentoring testers and communicating with developers.
CI_193,CAR_092,Conventional,4.2,Requires highly structured management of test plans and defect tracking systems.
CI_194,CAR_037,Conventional,4.8,Requires strict enforcement of data quality and compliance standards.
CI_195,CAR_037,Investigative,4.3,Involves auditing data pipelines to identify inconsistencies.
CI_196,CAR_037,Enterprising,3.7,Requires advocating for data best practices across business units.
CI_197,CAR_079,Investigative,4.6,Requires analyzing campaign performance and customer behavior patterns.
CI_198,CAR_079,Enterprising,4.2,Involves using data insights to drive marketing strategy and budget allocation.
CI_199,CAR_079,Conventional,3.9,Requires structured reporting of marketing KPIs and dashboards.
CI_200,CAR_062,Investigative,4.7,Requires deep analysis of patient data and medical records.
CI_201,CAR_062,Conventional,4.5,Involves strict adherence to healthcare data privacy regulations like HIPAA.
CI_202,CAR_062,Social,3.8,Requires collaborating with medical professionals to understand data needs.
CI_203,CAR_051,Conventional,4.8,Requires highly structured financial modeling and risk reporting.
CI_204,CAR_051,Investigative,4.6,Involves discovering trends in market data and financial statements.
CI_205,CAR_051,Enterprising,4.0,Requires using financial insights to drive corporate strategy.
CI_206,CAR_111,Investigative,4.8,"Requires designing complex, scalable system architectures."
CI_207,CAR_111,Realistic,4.4,Involves practical understanding of hardware and network capabilities.
CI_208,CAR_111,Enterprising,4.1,Requires leading technical initiatives and aligning systems with business goals.
CI_209,CAR_073,Investigative,4.6,Requires solving complex data flow issues between disparate systems.
CI_210,CAR_073,Realistic,4.3,Involves hands-on configuration of APIs and middleware.
CI_211,CAR_073,Conventional,3.9,Requires structured documentation of system interfaces and data mappings.
CI_212,CAR_049,Enterprising,4.9,Requires driving technology strategy across the entire organization.
CI_213,CAR_049,Investigative,4.5,Involves analyzing enterprise-wide business processes and technology gaps.
CI_214,CAR_049,Social,4.2,Requires communicating complex technical visions to executive leadership.
CI_215,CAR_026,Investigative,4.8,Requires designing scalable and secure cloud environments.
CI_216,CAR_026,Enterprising,4.4,Involves advising clients on cloud migration strategies and cost optimization.
CI_217,CAR_026,Realistic,3.8,Requires practical knowledge of cloud networking and storage configurations.
CI_218,CAR_035,Conventional,4.7,Requires highly structured data modeling and database design.
CI_219,CAR_035,Investigative,4.6,Involves analyzing data relationships and optimizing storage solutions.
CI_220,CAR_035,Enterprising,4.0,Requires aligning data architecture with long-term business strategy.
CI_221,CAR_072,Realistic,4.6,Focuses on the physical and virtual design of IT infrastructure.
CI_222,CAR_072,Investigative,4.4,Requires diagnosing systemic performance bottlenecks across networks and servers.
CI_223,CAR_072,Conventional,4.1,Involves structured planning for disaster recovery and system backups.
CI_224,CAR_059,Enterprising,4.8,Requires driving user acquisition and revenue growth strategies.
CI_225,CAR_059,Investigative,4.5,Involves running A/B tests and analyzing user behavior data.
CI_226,CAR_059,Social,4.0,Requires collaborating with marketing and engineering to launch growth experiments.
CI_227,CAR_039,Investigative,4.7,Requires analyzing complex datasets to inform product features.
CI_228,CAR_039,Enterprising,4.4,Involves defining the strategy for data monetization and analytics products.
CI_229,CAR_039,Social,3.9,Requires translating data science concepts for business stakeholders.
CI_230,CAR_005,Enterprising,4.8,Requires leading the strategy for AI and machine learning products.
CI_231,CAR_005,Investigative,4.6,Involves understanding model performance metrics and AI capabilities.
CI_232,CAR_005,Social,4.1,Requires bridging the gap between AI researchers and end-users.
CI_233,CAR_061,Realistic,4.5,Requires understanding the physical manufacturing and supply chain processes.
CI_234,CAR_061,Enterprising,4.7,Involves defining the market strategy and pricing for hardware devices.
CI_235,CAR_061,Conventional,4.0,Requires structured management of hardware release schedules and inventory.
CI_236,CAR_099,Social,4.9,Requires facilitating communication and removing blockers for development teams.
CI_237,CAR_099,Conventional,4.5,Involves structured organization of sprint planning and daily stand-ups.
CI_238,CAR_099,Enterprising,3.8,Requires driving continuous improvement in team productivity.
CI_239,CAR_008,Social,4.8,Requires mentoring multiple teams and leaders on agile methodologies.
CI_240,CAR_008,Enterprising,4.6,Involves driving organizational change and agile transformation strategies.
CI_241,CAR_008,Investigative,4.0,Requires analyzing team performance metrics to identify areas for coaching.
