career_id,career_title,career_domain,career_description
CAR_052,Firmware Engineer,Hardware & Robotics,Firmware Engineers develop low-level software that provides control for specific hardware.
CAR_053,Forensics Investigator,Unknown,
CAR_054,Frontend Developer,Software Engineering,Frontend Developers create the visual and interactive elements of web applications.
CAR_055,Full Stack Developer,Software Engineering,Full Stack Developers build both the frontend and backend components of software applications.
CAR_056,GIS Developer,Unknown,
CAR_057,Game Developer,Game Development,Game Developers design and program interactive video games and simulations.
CAR_058,Generative AI Engineer,Artificial Intelligence,"Generative AI Engineers build models capable of generating text,images,or code."
CAR_059,Growth Product Manager,Product Management,Growth Product Managers focus on optimizing the user journey to increase acquisition and retention.
CAR_060,Hardware Engineer,Hardware & Robotics,Hardware Engineers design and develop computer hardware and physical electronic components.
CAR_061,Hardware Product Manager,Product Management,Hardware Product Managers oversee the lifecycle of physical hardware products from design to manufacturing.
CAR_062,Healthcare Data Analyst,Data Analytics,Healthcare Data Analysts interpret medical data to improve patient care and operational efficiency.
CAR_063,Help Desk Manager,Unknown,
CAR_064,IT Auditor,Unknown,
CAR_065,IT Director,Unknown,
CAR_066,IT Operations Manager,Unknown,
CAR_067,IT Project Manager,Unknown,
CAR_068,IT Support Specialist,IT & Systems,IT Support Specialists provide technical assistance and troubleshooting for hardware and software.
CAR_069,Identity and Access Management (IAM) Engineer,Unknown,
CAR_070,Incident Responder,Cybersecurity,Incident Responders investigate and mitigate active cybersecurity threats and breaches.
CAR_071,Information Security Manager,Cybersecurity,Information Security Managers oversee an organization's cybersecurity posture and policies.
CAR_072,Infrastructure Architect,Solutions Architecture,Infrastructure Architects design and oversee the implementation of enterprise IT infrastructure.
CAR_073,Integration Engineer,Systems Engineering,Integration Engineers connect different software systems and applications to ensure they work together seamlessly.
CAR_074,IoT Engineer,Hardware & Robotics,IoT Engineers develop connected devices and systems for the Internet of Things ecosystem.
CAR_075,MLOps Engineer,DevOps,MLOps Engineers build infrastructure to deploy and monitor machine learning models in production.
CAR_076,Machine Learning Engineer,Artificial Intelligence,Machine Learning Engineers build and optimize scalable machine learning models for production.
CAR_077,Machine Learning Researcher,Unknown,
CAR_078,Mainframe Developer,Unknown,
CAR_079,Marketing Data Analyst,Data Analytics,Marketing Data Analysts interpret data to optimize marketing strategies and improve ROI.
CAR_080,Mobile App Developer,Unknown,
CAR_081,Mobile Application Developer,Software Engineering,Mobile Application Developers design and build applications for iOS and Android devices.
CAR_082,Mobile Test Engineer,QA & Testing,Mobile Test Engineers ensure the quality and functionality of mobile applications on iOS and Android.
CAR_083,NLP Engineer,Artificial Intelligence,NLP Engineers develop models that enable computers to understand human language.
CAR_084,Network Administrator,Networking,Network Administrators maintain and monitor day-to-day operations of computer networks.
CAR_085,Network Engineer,Networking,Network Engineers design and maintain enterprise computer networks and communication systems.
CAR_086,Penetration Tester,Cybersecurity,Penetration Testers ethically hack systems to identify and fix security vulnerabilities.
CAR_087,Performance Test Engineer,QA & Testing,Performance Test Engineers ensure software applications can handle expected user traffic and data volumes.
CAR_088,Product Designer,Design,Product Designers oversee the design process of a product from conception to launch.
CAR_089,Product Manager,Product & Business,Product Managers define product vision and oversee the development lifecycle.
CAR_090,Prompt Engineer,Unknown,
CAR_091,QA Engineer,QA & Testing,QA Engineers ensure software quality through rigorous testing and validation processes.
CAR_092,QA Lead,QA & Testing,QA Leads oversee the testing process and manage teams of quality assurance engineers.
CAR_093,Quality Assurance Manager,Unknown,
CAR_094,Quantitative Analyst,Data Science,Quantitative Analysts apply mathematical models to financial and risk management problems.
CAR_095,Release Manager,Unknown,
CAR_096,Robotics Engineer,Hardware & Robotics,Robotics Engineers design and build robotic systems and automated machines.
CAR_097,SAP Consultant,Unknown,
CAR_098,Salesforce Administrator,Unknown,
CAR_099,Scrum Master,Product Management,Scrum Masters facilitate agile development processes and ensure teams follow scrum practices.
CAR_100,Security Analyst,Cybersecurity,Security Analysts monitor network traffic to detect and respond to security incidents.
CAR_101,Security Architect,Unknown,
CAR_102,Security Tester,QA & Testing,Security Testers evaluate software to identify and fix security flaws before release.
CAR_103,Site Manager (IT),Unknown,
CAR_104,Site Reliability Engineer,DevOps,Site Reliability Engineers ensure the performance and availability of large-scale software systems.
CAR_105,Smart Contract Developer,Web3 & Blockchain,Smart Contract Developers write and deploy self-executing code on blockchain networks.
CAR_106,Software Engineer,Software Engineering,Software Engineers develop and maintain robust software applications and systems.
CAR_107,Solutions Architect,Cloud Computing,Solutions Architects design comprehensive technical solutions to solve business problems.
CAR_108,System Administrator,Unknown,
CAR_109,Systems Administrator,IT & Systems,Systems Administrators manage and maintain enterprise server environments and IT systems.
CAR_110,Systems Analyst,Unknown,
CAR_111,Systems Architect,Systems Engineering,Systems Architects design and configure complex computer systems and networks for organizations.
CAR_112,Systems Engineer,IT & Systems,Systems Engineers design and manage complex systems over their life cycles.
CAR_113,Tech Lead,Unknown,
CAR_114,Technical Product Manager,Product & Business,Technical Product Managers oversee the development of highly technical software products.
CAR_115,Technical Support Engineer,IT & Systems,Technical Support Engineers resolve advanced technical issues for enterprise software products.
CAR_116,Technical Writer,Unknown,
CAR_117,Telecommunications Engineer,Unknown,
CAR_118,Test Automation Engineer,Unknown,
CAR_119,UI/UX Designer,Design,UI/UX Designers create intuitive and visually appealing user interfaces for digital products.
CAR_120,VLSI Design Engineer,Hardware & Robotics,VLSI Design Engineers create integrated circuits and microchips for electronic devices.
CAR_121,Vulnerability Analyst,Unknown,
CAR_122,Web3 Architect,Web3 & Blockchain,Web3 Architects design the overarching infrastructure for decentralized applications and tokenomics.
